#Thu Jun 03 19:30:35 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_cup_H04-a_cap_H05	2	1	0	0.24690604209899902	1	1
a_cad_H04-a_cad_H08	1	2	0	0.32242894172668457	1	0
v_cut_H09-v_cut_H04	1	1	1	0.5731208324432373	0	0
v_bun_H07-v_bun_H06	1	1	1	0.5253050327301025	0	0
a_cad_H05-v_cud_H04	2	2	1	1.039759874343872	0	0
a_back_F09-v_buck_F07	2	1	0	0.34524106979370117	1	0
v_bun_H06-a_ban_H07	2	2	1	0.8143100738525391	0	1
a_ban_F04-a_ban_F07	1	1	1	0.5526561737060547	0	0
a_pat_H08-a_pat_H09	1	2	0	0.9175338745117188	1	1
v_luck_H08-a_lack_H09	2	2	1	0.47190117835998535	0	1
a_ban_F08-a_ban_F05	1	2	0	0.5468299388885498	1	1
v_cup_F09-v_cup_F06	1	1	1	0.46311283111572266	0	0
a_tat_H08-a_tat_H04	1	1	1	0.9325380325317383	0	1
v_putt_F09-v_putt_F08	1	2	0	0.5850460529327393	1	1
a_back_H09-v_buck_H07	2	2	1	0.370819091796875	0	0
v_cup_H09-v_cup_H06	1	1	1	1.2938048839569092	0	0
v_bun_H05-v_bun_H08	1	1	1	0.6294889450073242	0	0
a_cad_F06-a_cad_F07	1	1	1	0.4619178771972656	0	0
a_lack_H08-a_lack_H09	1	2	0	0.2690441608428955	1	0
v_cud_H09-v_cud_H06	1	2	0	0.5248472690582275	1	1
a_mat_F06-a_mat_F05	1	1	1	0.4401369094848633	0	0
a_ban_H05-v_bun_H06	2	2	1	1.113236904144287	0	0
a_back_F08-a_back_F06	1	1	1	0.49814391136169434	0	0
a_cap_F07-v_cup_F06	2	2	1	0.5585780143737793	0	0
a_pack_H06-a_pack_H05	1	1	1	0.5908527374267578	0	0
a_cap_H09-v_cup_H08	2	2	1	0.32029271125793457	0	0
a_tat_H06-a_tat_H08	1	2	0	0.7307877540588379	1	0
v_cup_H07-v_cup_H04	1	1	1	3.0410759449005127	0	0
v_putt_F08-a_pat_F04	2	2	1	0.316417932510376	0	0
v_buck_F05-v_buck_F09	1	2	0	1.2775771617889404	1	0

#TotalErreurs#10#TempsTotal#2min 48sec
