#00#Sat Feb 20 19:02:36 2021#ListeOddity_1.txt
Vowel	Sound Files	Response	FirstResponse	Result	Response Time	NbErreurs	nbRepetitions
A_mart_H06-A_mart_H09-v_mutt_H07	v	3	3	1	0.6589629650115967	0	1
v_mutt_H05-a_mat_H08-v_mutt_H06	a	2	2	1	0.37346410751342773	0	0
I_mean_H05-i_min_H04-i_min_H08	I	1	1	1	0.27855491638183594	0	1
a_pat_H08-a_pat_H06-v_putt_H04	v	3	1	0	0.21051597595214844	3	0
v_putt_H08-A_part_H09-v_putt_H05	A	2	3	0	1.5757310390472412	2	0
v_luck_F04-v_luck_F08-A_lark_F06	A	3	3	1	0.5819137096405029	0	0
a_mat_H04-v_mutt_H06-a_mat_H09	v	2	2	1	0.44124317169189453	0	0
I_bean_F04-I_bean_F05-i_bin_F09	i	3	2	0	1.7746107578277588	2	1
v_mutt_H05-v_mutt_H07-A_mart_H08	A	3	3	1	0.31736207008361816	0	0
A_carp_F05-A_carp_F09-v_cup_F04	v	3	3	1	0.7364470958709717	0	0
v_buck_H05-A_bark_H04-A_bark_H07	v	1	3	0	0.34368467330932617	2	0
v_putt_F05-v_putt_F07-a_pat_F08	a	3	3	1	2.3527302742004395	0	0
I_beak_H06-i_bik_H08-I_beak_H05	i	2	2	1	0.25232529640197754	0	1
v_buck_H05-A_bark_H09-v_buck_H04	A	2	2	1	0.2954537868499756	0	0
a_cap_F08-v_cup_F05-a_cap_F07	v	2	2	1	0.24648380279541016	0	0
i_lick_H04-I_leak_H05-i_lick_H09	I	2	1	0	2.167515993118286	3	0
i_min_H07-I_mean_H04-i_min_H06	I	2	2	1	0.4120290279388428	0	0
I_mean_F05-i_min_F04-i_min_F08	I	1	1	1	0.7433099746704102	0	0
a_back_F04-v_buck_F08-a_back_F07	v	2	2	1	0.7149472236633301	0	0
i_lick_F08-i_lick_F09-I_leak_F06	I	3	3	1	1.2569580078125	0	0
I_bean_H06-i_bin_H09-i_bin_H07	I	1	1	1	2.5294668674468994	0	0
I_leak_H09-i_lick_H04-I_leak_H07	i	2	2	1	0.7928619384765625	0	0
A_carp_H05-A_carp_H09-v_cup_H04	v	3	2	0	0.13335704803466797	3	1
i_bin_H08-i_bin_H09-I_bean_H07	I	3	1	0	1.164330005645752	2	1
a_lack_F05-v_luck_F09-a_lack_F06	v	2	1	0	0.6935970783233643	2	1
A_carp_H08-v_cup_H06-v_cup_H09	A	1	3	0	0.34789180755615234	2	1
i_bin_F04-I_bean_F09-I_bean_F07	i	1	1	1	0.15118885040283203	0	0
v_buck_F06-a_back_F07-v_buck_F08	a	2	3	0	1.298962116241455	2	0
A_carp_H05-v_cup_H06-A_carp_H07	v	2	3	0	0.9431700706481934	3	0
v_cup_F09-A_carp_F08-v_cup_F05	A	2	2	1	0.3024911880493164	0	0

#TotalErreurs#26TempsTotal#4min 50sec
#00#Sun Mar 07 17:40:28 2021#ListeOddity_1.txt
Vowel	Sound Files	Response	FirstResponse	Result	Response Time	NbErreurs	nbRepetitions
v_luck_F04-v_luck_F08-A_lark_F06	A	3	3	1	0.10231375694274902	0	1
