#Wed May 19 10:23:34 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_cut_F06-A_cart_F09	2	2	1	2.1234239359619096	0	0
A_bark_H05-v_buck_H08	2	2	1	0.052949738048482686	0	1
v_tut_H09-v_tut_H07	1	1	1	9.902019493980333	0	0
A_bark_F05-v_buck_F08	2	2	1	1.7192919600056484	0	0
v_bun_H06-A_barn_H07	2	2	1	1.5710118630086072	0	0
A_cart_H04-A_cart_H05	1	1	1	1.1249760340433568	0	0
A_cart_H05-v_cut_H04	2	2	1	1.3511704010306858	0	0
v_puck_F08-A_park_F07	2	2	1	1.1913629139889963	0	0
A_barn_F09-v_bun_F05	2	2	1	1.7519605359993875	0	0
A_cart_F07-v_cut_F05	2	2	1	3.309531093982514	0	0
A_bark_F08-A_bark_F06	1	1	1	3.4229520529625006	0	0
v_cup_H06-A_carp_H05	2	2	1	1.8698756759986281	0	0
v_buck_F05-v_buck_F09	1	1	1	1.1068595200194977	0	0
A_part_F09-v_putt_F04	2	2	1	1.308628291997593	0	0
v_cup_H07-v_cup_H04	1	1	1	0.6351525739883073	0	0
v_cud_F04-A_card_F07	2	2	1	1.424534947029315	0	0
A_card_F05-v_cud_F04	2	2	1	2.0812084799981676	0	0
v_luck_F08-A_lark_F09	2	2	1	1.5024915899848565	0	0
v_bun_F04-A_barn_F09	2	2	1	1.8610089780413546	0	0
v_putt_F06-A_part_F07	2	2	1	1.2933940019574948	0	0
v_puck_F07-v_puck_F08	1	2	0	0.9226816730224527	1	0
v_buck_H07-v_buck_H08	1	1	1	1.6376514990115538	0	0
A_barn_H08-A_barn_H05	1	1	1	1.3368540559895337	0	0
A_lark_H09-v_luck_H06	2	2	1	2.1462187619763426	0	0
v_tut_F06-A_tart_F09	2	2	1	1.7275338289909996	0	0
A_carp_H06-A_carp_H07	1	1	1	1.1471145609975792	0	0
v_tut_H06-A_tart_H09	2	2	1	1.9393785099964589	0	0
A_lark_H07-v_luck_H08	2	2	1	3.7184432490030304	0	0
v_cup_H08-A_carp_H06	2	2	1	1.4386522389831953	0	0
A_carp_H07-v_cup_H06	2	2	1	1.2496758089982904	0	0

#TotalErreurs#1#TempsTotal#3min 18sec
