#Mon Feb 08 18:01:17 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_peak_F07-i_pick_F09	2	2	1	1.4934150567278266	0	0
I_beak_H04-I_beak_H09	1	2	0	0.724881065543741	1	1
I_mean_H06-I_mean_H04	1	1	1	1.0141310883918777	0	0
i_tick_F05-i_tick_F08	1	1	1	0.7600489689502865	0	0
i_lick_F06-I_leak_F08	2	2	1	1.354031991912052	0	0
i_chip_F07-i_cheap_F04	1	2	0	1.025996956625022	1	0
I_mean_F05-i_min_F08	2	2	1	1.3496880603488535	0	0
i_pick_F09-i_pick_F07	1	1	1	3.7823549922322854	0	0
I_seek_F06-I_seek_F05	1	1	1	1.1501300878589973	0	0
i_pick_H04-I_peak_H09	2	1	0	0.5875389163848013	1	0
I_leak_F05-i_lick_F09	2	2	1	1.5141589676495641	0	0
I_peak_F09-i_pick_F05	2	2	1	1.0975059143966064	0	0
I_bean_H08-I_bean_H09	1	1	1	0.5428799899527803	0	0
i_kip_F04-I_keep_F07	2	2	1	2.0542680551297963	0	1
i_chip_F09-i_cheap_F06	1	2	0	0.19168299727607518	1	0
I_teak_F06-I_teak_F08	1	1	1	2.1853389505995438	0	0
i_min_H08-I_mean_H07	2	1	0	0.486419903463684	1	1
i_pick_F04-I_peak_F09	2	2	1	1.2570600227918476	0	0
i_pick_H09-i_pick_H07	1	1	1	1.3284229267155752	0	0
I_peak_H04-I_peak_H07	1	2	0	1.413161083473824	1	2
I_mean_H05-i_min_H08	2	2	1	0.6005371096543968	0	0
I_cheap_H08-I_chip_H07	1	1	1	1.6003340776078403	0	0
I_cheap_H07-i_cheap_H06	2	1	0	0.745348940603435	1	0
I_bean_H06-I_bean_H05	1	1	1	0.39766899158712476	0	0
i_tick_F06-I_teak_F09	2	1	0	0.06366509827785194	1	0
I_keep_F06-I_keep_F07	1	1	1	0.43626795255113393	0	1
i_tick_F07-i_tick_F06	1	1	1	0.4827670097583905	0	0
I_beak_F07-i_bik_F04	2	2	1	0.8864530395949259	0	0
I_bean_F08-I_bean_F09	1	1	1	0.3153549307025969	0	0
i_sick_F08-I_seek_F09	2	2	1	0.8789479758124799	0	0

#TotalErreurs#8#TempsTotal#2min 39sec
