#Fri Apr 30 19:49:00 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_cup_F09	cup	v	1.0051829814910889	0	0
v_luck_F04	luck	v	0.9802238941192627	0	0
A_cart_F09	cart	A	0.9005439281463623	0	0
v_putt_F06	putt	v	1.23807692527771	0	0
v_cut_F09	cut	v	1.1522963047027588	0	0
v_cut_F05	cut	v	1.0616488456726074	0	0
v_tut_F06	tut	v	0.8981280326843262	0	0
A_barn_F06	barn	A	0.8740999698638916	0	0
A_card_F09	card	A	0.9015469551086426	0	0
A_bark_F09	bark	A	0.878105878829956	0	0
v_bun_H07	bun	v	1.0057499408721924	1	0
v_tut_F09	tut	v	1.107485055923462	0	0
A_lark_F05	lark	A	1.1521599292755127	0	0
v_luck_H09	luck	v	0.3777599334716797	1	0
A_carp_F06	carp	A	1.4100759029388428	0	0
v_putt_H06	putt	v	1.0433599948883057	0	0
v_puck_H04	puck	v	0.3585550785064697	1	0
A_mart_H07	mart	A	1.2714669704437256	0	0
v_puck_H05	puck	v	1.3413848876953125	0	0
A_park_H06	park	A	1.588791847229004	0	0
v_luck_F05	luck	v	0.2190108299255371	1	0
v_mutt_F07	mutt	v	1.0522491931915283	0	0
A_carp_H08	carp	A	1.4877381324768066	0	0
A_park_F05	park	A	1.4920060634613037	0	0
A_cart_H04	cart	A	1.0614869594573975	0	0
v_tut_H04	tut	v	1.4604401588439941	0	0
A_carp_H05	carp	A	1.4700679779052734	0	0
v_tut_H09	tut	v	1.5576090812683105	0	0
A_tart_H04	tart	A	1.0072839260101318	1	0
v_cut_F08	cut	v	1.7760601043701172	0	0

#TotalErreurs#5TempsTotal#1min 37sec
