Wed Apr 14 18:40:52 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
I_mean_F04	mean	I	I	1.6733050346374512	0	0
v_mutt_H09	mutt	v	v	1.5377321243286133	0	0
A_mart_F09	mart	A	A	1.3859996795654297	0	0
a_cap_F07	cap	a	a	1.3396029472351074	0	0
v_buck_H07	buck	v	A	0.9504339694976807	1	0
A_lark_F08	lark	A	v	0.9988751411437988	1	0
I_leak_H05	leak	I	i	2.4942212104797363	1	0
v_putt_H09	putt	v	v	2.032404899597168	0	0
i_chip_F06	chip	i	i	1.3967788219451904	0	0
A_mart_H09	mart	A	v	0.843116044998169	1	0
a_lack_F06	lack	a	a	1.6513428688049316	0	0
v_putt_H05	putt	v	v	1.4281389713287354	0	0
A_mart_H04	mart	A	A	1.5780601501464844	0	0
I_mean_H04	mean	I	i	0.5791046619415283	1	0
v_luck_F08	luck	v	v	1.4414799213409424	0	0
v_luck_H05	luck	v	v	1.3349251747131348	0	0
a_mat_F09	mat	a	a	1.7675466537475586	0	0
a_lack_F09	lack	a	a	3.18847393989563	0	0
a_mat_F05	mat	a	a	1.3216497898101807	0	0
i_lick_F04	lick	i	i	1.2503118515014648	0	0
A_mart_H06	mart	A	A	1.8035120964050293	0	0
v_luck_F05	luck	v	v	1.4357140064239502	0	0
i_min_F09	min	i	i	1.548410177230835	0	0
I_mean_F06	mean	I	I	1.7724499702453613	0	0
I_bean_F08	bean	I	I	1.414250135421753	0	0
v_luck_F09	luck	v	v	1.5762748718261719	0	0
I_mean_H06	mean	I	I	1.7134008407592773	0	0
A_bark_H09	bark	A	A	1.5341973304748535	0	0
A_part_H06	part	A	A	1.1506779193878174	0	0
a_mat_F04	mat	a	a	1.6125621795654297	0	0

#TotalErreurs#5#TempsTotal#1min 50sec
