Sun Mar 07 14:25:07 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
I_keep_F08	keep	I	I	1.2365341186523438	0	0
i_tick_F08	tick	i	I	0.7331299781799316	1	0
v_cut_H05	cut	v	A	0.49356722831726074	2	0
i_sick_F04	sick	i	i	1.6070449352264404	0	0
I_seek_F07	seek	I	I	1.2128567695617676	0	0
v_cud_F08	cud	v	A	0.7265431880950928	1	0
I_keep_H04	keep	I	i	0.7772061824798584	1	0
i_kip_F06	kip	i	i	1.2192459106445312	0	0
A_tart_F08	tart	A	v	0.8755042552947998	1	0
a_pack_F04	pack	a	a	3.355875015258789	0	0
A_cart_H06	cart	A	A	1.7759251594543457	0	0
v_cud_H08	cud	v	v	1.9052670001983643	0	0
i_kip_F07	kip	i	i	2.0576319694519043	0	0
I_deed_H06	deed	I	I	1.6182551383972168	0	0
v_tut_F06	tut	v	v	1.7451739311218262	0	0
v_cut_F06	cut	v	v	1.3579001426696777	0	0
I_deed_F05	deed	I	I	1.5324959754943848	0	0
a_pack_H08	pack	a	i	1.3344688415527344	2	0
a_pack_F07	pack	a	a	1.1110010147094727	0	0
i_sick_H07	sick	i	i	1.9719290733337402	0	0
i_tick_H07	tick	i	i	1.4650599956512451	0	0
i_sick_H05	sick	i	i	1.0399439334869385	0	0
v_bun_H09	bun	v	v	1.4476978778839111	0	0
v_tut_F08	tut	v	a	0.38027381896972656	1	0
A_tart_H06	tart	A	A	1.6107652187347412	0	0
v_puck_F04	puck	v	a	0.6572258472442627	1	0
v_cut_F09	cut	v	v	1.0867388248443604	0	0
v_cud_H07	cud	v	A	0.08570599555969238	1	0
i_pick_H07	pick	i	v	0.7730278968811035	1	0
v_cut_F04	cut	v	v	1.784121036529541	0	0

#TotalErreurs#12#TempsTotal#2min 4sec
