Tue Mar 30 16:32:32 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
A_barn_F06	barn	A	v	0.5405378341674805	1	0
A_card_F09	card	A	A	1.0072782039642334	0	0
A_tart_F07	tart	A	v	0.6789860725402832	2	0
A_cart_F07	cart	A	A	1.3150298595428467	0	0
v_bun_F06	bun	v	v	1.5126001834869385	0	0
i_did_F08	did	i	i	1.8045740127563477	0	0
i_sick_F04	sick	i	i	1.9709811210632324	0	0
I_seek_F08	seek	I	I	1.9260179996490479	0	0
A_tart_H06	tart	A	a	1.1602559089660645	1	0
A_tart_F06	tart	A	A	1.2517073154449463	0	0
i_kip_F05	kip	i	i	1.8889579772949219	0	0
v_tut_F05	tut	v	a	1.198085069656372	3	0
i_pick_H08	pick	i	i	1.4571330547332764	0	1
a_cat_H06	cat	a	a	1.501938819885254	0	0
i_tick_H08	tick	i	i	1.4610700607299805	0	0
i_kip_F04	kip	i	i	1.724334955215454	0	0
A_park_F05	park	A	A	2.4714760780334473	0	0
A_cart_F06	cart	A	v	0.9042019844055176	2	0
I_teak_H07	teak	I	i	0.9071993827819824	1	0
a_cat_F04	cat	a	a	1.9673140048980713	0	0
v_puck_F06	puck	v	v	1.485630989074707	0	1
i_did_F06	did	i	i	3.7871949672698975	0	0
A_barn_F08	barn	A	v	1.9463701248168945	1	0
a_cad_H06	cad	a	A	2.5016026496887207	1	0
A_tart_F04	tart	A	A	2.337775230407715	0	1
A_tart_H08	tart	A	A	1.5685088634490967	0	1
v_cud_H09	cud	v	A	0.900238037109375	1	0
I_teak_F05	teak	I	I	1.7535459995269775	0	1
a_cat_H07	cat	a	a	1.3851101398468018	0	0
v_tut_H07	tut	v	v	2.190211057662964	0	0

#TotalErreurs#13#TempsTotal#3min 48sec
