#Fri Feb 26 11:59:39 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_cut_H08-a_cat_H05	2	2	1	0.9731459617614746	0	1
a_back_F07-v_buck_F04	2	1	0	0.15070796012878418	1	0
a_mat_F06-a_mat_F05	1	2	0	0.16019701957702637	1	0
a_cap_F08-a_cap_F07	1	1	1	0.552567720413208	0	0
a_tat_H06-a_tat_H08	1	2	0	0.19799399375915527	1	0
v_mutt_F08-a_mat_F09	2	2	1	1.2530770301818848	0	0
v_puck_F06-a_pack_F08	2	2	1	1.4326589107513428	0	0
a_pat_F06-a_pat_F05	1	1	1	1.0391511917114258	0	0
a_lack_H08-a_lack_H09	1	2	0	0.2010817527770996	1	0
v_bun_F09-v_bun_F07	1	1	1	0.1829519271850586	0	1
a_tat_H04-a_tat_H08	1	2	0	0.14618825912475586	1	0
a_ban_H05-v_bun_H06	2	1	0	0.13808274269104004	1	0
a_pat_H05-v_putt_H06	2	2	1	0.7749121189117432	0	0
a_back_F08-a_back_F06	1	1	1	0.34700989723205566	0	0
v_cud_H04-a_cad_H07	2	1	0	0.15572404861450195	1	0
v_cud_F06-a_cad_F05	2	1	0	0.31502723693847656	1	0
v_bun_H04-a_ban_H09	2	2	1	0.6300830841064453	0	0
a_cad_F04-a_cad_F08	1	2	0	0.3128070831298828	1	0
a_cat_F08-a_cat_F05	1	1	1	0.6563351154327393	0	0
a_pack_F05-v_puck_F09	2	2	1	0.7511289119720459	0	0
v_puck_F05-v_puck_F06	1	1	1	0.438535213470459	0	0
a_cat_H06-a_cat_H09	1	1	1	0.1959679126739502	0	0
a_back_H09-v_buck_H07	2	2	1	0.1365671157836914	0	0
a_cad_H08-a_cad_H06	1	2	0	0.07153487205505371	1	0
v_luck_H04-a_lack_H05	2	2	1	0.5822150707244873	0	0
v_tut_H07-v_tut_H06	1	2	0	0.5070500373840332	1	1
a_back_H04-a_back_H09	1	2	0	0.8872849941253662	1	0
v_putt_H06-a_pat_H07	2	2	1	0.752662181854248	0	0
a_pack_H08-a_pack_H09	1	1	1	1.2811851501464844	0	0
a_ban_H09-v_bun_H05	2	2	1	0.7233688831329346	0	0

#TotalErreurs#12#TempsTotal#2min 34sec
