#Sun Mar 07 14:14:50 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_tut_F06-a_tat_F09	2	2	1	0.29485583305358887	0	0
v_buck_H04-a_back_H08	2	2	1	0.9366710186004639	0	0
v_luck_H08-a_lack_H09	2	2	1	0.6492171287536621	0	0
a_cap_F04-a_cap_F05	1	1	1	0.6759688854217529	0	0
a_lack_H09-v_luck_H06	2	2	1	0.5116751194000244	0	0
a_ban_H06-a_ban_H08	1	1	1	0.6160750389099121	0	0
v_luck_H04-a_lack_H05	2	2	1	1.026960849761963	0	0
v_cut_F08-a_cat_F05	2	2	1	0.9064147472381592	0	0
a_pat_F08-a_pat_F09	1	1	1	0.7950012683868408	0	0
v_cud_F07-v_cud_F08	1	1	1	0.39075303077697754	0	0
v_buck_H05-v_buck_H09	1	2	0	0.24383902549743652	1	0
v_tut_H04-a_tat_H07	2	1	0	0.2368309497833252	1	0
a_mat_H06-a_mat_H05	1	2	0	0.3332481384277344	1	0
a_pat_H07-v_putt_H04	2	1	0	0.12605500221252441	1	0
a_cad_F05-v_cud_F04	2	2	1	0.3387432098388672	0	0
a_lack_H04-a_lack_H09	1	1	1	0.36687207221984863	0	0
a_cat_F04-a_cat_F05	1	1	1	0.45377159118652344	0	0
v_puck_F04-a_pack_F07	2	1	0	0.1506812572479248	1	0
a_cap_H04-a_cap_H05	1	1	1	0.7632429599761963	0	0
a_pack_H07-v_puck_H04	2	1	0	0.28125500679016113	1	0
v_bun_H09-v_bun_H07	1	1	1	0.2551090717315674	0	0
a_lack_F04-a_lack_F09	1	2	0	0.12503910064697266	1	0
v_cud_H04-a_cad_H07	2	1	0	0.4850339889526367	1	0
v_tut_H06-a_tat_H09	2	2	1	1.012336015701294	0	0
v_cut_H07-v_cut_H04	1	1	1	0.9719507694244385	0	0
v_putt_H04-a_pat_H06	2	1	0	0.19244694709777832	1	0
a_pack_F04-a_pack_F06	1	2	0	1.032444715499878	1	0
v_luck_H06-a_lack_H04	2	2	1	0.6144568920135498	0	0
a_pat_F09-v_putt_F04	2	1	0	0.05089688301086426	1	0
v_cud_H09-v_cud_H06	1	1	1	1.106623888015747	0	0

#TotalErreurs#11#TempsTotal#2min 14sec
