#Sun May 02 16:43:56 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_cart_H06-A_cart_H09	1	2	0	0.07353973388671875	1	0
v_cud_F06-A_card_F05	2	2	1	0.45311903953552246	0	0
A_carp_F09-v_cup_F08	2	2	1	0.5865387916564941	0	0
A_carp_F06-A_carp_F07	1	1	1	0.6238923072814941	0	0
v_puck_H05-v_puck_H06	1	1	1	0.31440091133117676	0	0
A_carp_H05-v_cup_H07	2	2	1	0.06701803207397461	0	0
v_putt_H07-v_putt_H09	1	2	0	0.4066927433013916	1	0
v_buck_H04-A_bark_H08	2	2	1	0.211137056350708	0	0
v_puck_F05-v_puck_F06	1	2	0	0.18239593505859375	1	0
v_cup_F04-A_carp_F05	2	2	1	0.6853499412536621	0	0
A_lark_F08-A_lark_F09	1	2	0	0.17187190055847168	1	0
A_tart_H04-A_tart_H08	1	2	0	0.35030221939086914	1	0
A_mart_H07-v_mutt_H09	2	2	1	0.5504970550537109	0	0
A_carp_F04-A_carp_F05	1	2	0	1.0561158657073975	1	0
v_cud_H08-A_card_H04	2	2	1	0.5459702014923096	0	0
A_bark_F04-A_bark_F09	1	1	1	0.8758809566497803	0	0
v_tut_F08-A_tart_F05	2	1	0	0.7272319793701172	1	0
A_park_H06-A_park_H05	1	2	0	0.078125	1	0
v_putt_F07-v_putt_F09	1	2	0	0.5411958694458008	1	0
v_mutt_H09-v_mutt_H06	1	1	1	0.33364415168762207	0	0
v_mutt_H06-A_mart_H05	2	2	1	0.9490561485290527	0	0
v_puck_F07-v_puck_F08	1	2	0	0.08314299583435059	1	0
v_mutt_F05-v_mutt_F04	1	1	1	0.39866089820861816	0	0
v_bun_F07-v_bun_F06	1	1	1	0.09267830848693848	0	0
A_park_H07-v_puck_H04	2	2	1	1.5306501388549805	0	0
A_lark_H08-A_lark_H09	1	2	0	1.0054430961608887	1	0
v_tut_H07-v_tut_H06	1	1	1	0.9794909954071045	0	0
v_puck_H09-v_puck_H08	1	2	0	0.057412147521972656	1	0
A_carp_F08-A_carp_F07	1	1	1	0.40487003326416016	0	0
v_cud_H07-v_cud_H08	1	2	0	0.5197281837463379	1	0

#TotalErreurs#13#TempsTotal#2min 35sec
