#Wed Apr 14 18:30:44 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_mutt_H06-A_mart_H05	2	1	0	0.3916471004486084	1	0
v_buck_H09-v_buck_H04	1	2	0	0.12042403221130371	1	0
A_mart_H07-v_mutt_H09	2	2	1	0.6418581008911133	0	0
v_putt_F07-v_putt_F09	1	2	0	0.07153725624084473	1	0
A_tart_H05-v_tut_H04	2	2	1	0.6166660785675049	0	0
A_tart_H09-v_tut_H05	2	1	0	0.7742409706115723	1	0
A_park_H07-v_puck_H04	2	2	1	0.7924470901489258	0	0
A_part_F09-v_putt_F04	2	2	1	0.5506441593170166	0	0
v_tut_H05-v_tut_H08	1	2	0	0.9852218627929688	1	0
v_luck_H08-A_lark_H09	2	1	0	0.07822084426879883	1	0
v_puck_F05-v_puck_F06	1	1	1	0.3127632141113281	0	0
v_cup_F04-A_carp_F05	2	2	1	0.48374032974243164	0	0
v_luck_F09-v_luck_F06	1	1	1	0.3012111186981201	0	0
A_card_H05-v_cud_H04	2	2	1	2.024940013885498	0	0
A_part_F07-v_putt_F04	2	1	0	0.7359957695007324	1	0
v_cut_H05-v_cut_H07	1	1	1	0.09628486633300781	0	1
A_park_H05-v_puck_H09	2	2	1	1.3546779155731201	0	0
A_park_H08-A_park_H09	1	1	1	0.9044210910797119	0	0
v_buck_F04-A_bark_F08	2	2	1	1.6731512546539307	0	0
v_puck_F04-A_park_F07	2	2	1	0.44891905784606934	0	0
v_luck_H04-A_lark_H05	2	2	1	0.30948901176452637	0	0
A_park_F08-A_park_F09	1	2	0	0.2505948543548584	1	0
A_mart_H05-v_mutt_H07	2	1	0	0.22576093673706055	1	0
v_cut_F08-A_cart_F05	2	2	1	0.3195052146911621	0	0
A_lark_F05-v_luck_F06	2	2	1	0.817267894744873	0	0
v_bun_H08-A_barn_H06	2	2	1	0.5288009643554688	0	0
A_lark_H06-A_lark_H05	1	1	1	0.5774757862091064	0	0
A_card_H09-v_cud_H06	2	2	1	0.5652117729187012	0	0
v_cud_H07-v_cud_H08	1	2	0	0.6302027702331543	1	0
v_buck_H06-A_bark_H08	2	2	1	1.5114719867706299	0	0

#TotalErreurs#10#TempsTotal#2min 23sec
