#Fri Apr 30 19:40:31 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_deed_H07-i_did_H05	2	2	1	0.6491949558258057	0	0
i_sick_F04-I_seek_F07	2	2	1	0.2801997661590576	0	0
i_lick_H08-I_leak_H07	2	1	0	0.41632914543151855	1	0
I_keep_F07-i_kip_F09	2	2	1	0.3184359073638916	0	0
I_teak_H06-I_teak_H08	1	1	1	0.21368098258972168	0	0
I_peak_H08-I_peak_H05	1	1	1	0.20211386680603027	0	0
I_leak_F05-i_lick_F09	2	2	1	0.2978370189666748	0	0
I_keep_H05-i_kip_H04	2	2	1	0.37049102783203125	0	0
i_chip_F08-I_chip_F06	2	1	0	0.09665799140930176	1	0
I_peak_F04-I_peak_F07	1	1	1	1.0641250610351562	0	0
i_kip_F04-I_keep_F07	2	2	1	0.2715940475463867	0	0
i_lick_F06-I_leak_F08	2	2	1	0.47154808044433594	0	0
I_seek_H09-i_sick_H05	2	2	1	0.7548089027404785	0	0
I_seek_H05-i_sick_H07	2	2	1	1.4318609237670898	0	0
I_bean_F04-I_bean_F09	1	1	1	0.4611372947692871	0	0
i_bik_H06-I_beak_H07	2	2	1	0.2187511920928955	0	0
i_tick_H04-I_teak_H07	2	2	1	0.18750524520874023	0	0
i_did_H06-I_deed_H09	2	2	1	0.18750476837158203	0	0
I_peak_F06-I_peak_F08	1	2	0	0.10938215255737305	1	0
i_bik_F05-i_bik_F06	1	1	1	0.5568933486938477	0	0
i_pick_H04-I_peak_H09	2	2	1	0.10938000679016113	0	0
i_chip_F06-I_chip_F05	2	1	0	0.09377479553222656	1	0
i_sick_F08-I_seek_F09	2	2	1	0.5937659740447998	0	0
i_pick_F06-I_peak_F07	2	2	1	0.29689669609069824	0	0
I_mean_F05-i_min_F08	2	2	1	0.35939502716064453	0	0
i_min_H04-I_mean_H08	2	1	0	0.10940122604370117	1	0
i_bik_F09-i_bik_F08	1	2	0	0.3906240463256836	1	0
i_tick_F09-i_tick_F07	1	2	0	0.10939812660217285	1	0
I_cheap_H07-i_cheap_H06	2	1	0	0.4843719005584717	1	0
i_sick_F05-i_sick_F04	1	1	1	0.3749985694885254	0	0

#TotalErreurs#8#TempsTotal#2min 8sec
