#Sun Mar 07 14:09:52 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_min_F06-I_mean_F08	2	2	1	0.9798300266265869	0	0
I_leak_H07-i_lick_H04	2	2	1	0.8420650959014893	0	0
I_cheap_F09-i_cheap_F08	2	2	1	0.6254856586456299	0	0
I_cheap_H08-I_chip_H07	1	1	1	0.6781349182128906	0	0
i_tick_H07-i_tick_H06	1	1	1	0.6671543121337891	0	0
I_keep_F04-I_keep_F08	1	1	1	0.2499709129333496	0	0
I_beak_H06-I_beak_H05	1	1	1	0.37699103355407715	0	0
i_did_F09-i_did_F04	1	2	0	0.3021221160888672	1	0
i_kip_H04-I_keep_H07	2	2	1	0.6400058269500732	0	0
i_kip_H06-I_keep_H05	2	2	1	0.6694626808166504	0	0
i_tick_H09-i_tick_H07	1	1	1	0.333737850189209	0	0
I_leak_F09-i_lick_F08	2	2	1	0.37963008880615234	0	0
I_bean_F08-I_bean_F09	1	2	0	0.06252193450927734	1	0
I_deed_H08-I_deed_H05	1	1	1	0.3548760414123535	0	0
I_bean_H05-i_bin_H06	2	1	0	0.8450107574462891	1	0
I_deed_F07-i_did_F05	2	2	1	0.5868232250213623	0	0
i_min_F07-i_min_F08	1	2	0	0.6644628047943115	1	0
i_min_H08-I_mean_H07	2	1	0	0.15220403671264648	1	0
I_bean_F05-i_bin_F06	2	2	1	0.24845480918884277	0	0
i_did_F08-I_deed_F05	2	2	1	0.35137200355529785	0	0
i_min_H04-I_mean_H08	2	2	1	0.37963199615478516	0	0
i_bik_F05-i_bik_F06	1	2	0	0.13505268096923828	1	0
i_lick_H08-I_leak_H07	2	2	1	1.2377758026123047	0	0
i_bik_F07-i_bik_F09	1	1	1	0.7324867248535156	0	0
I_cheap_H04-I_chip_H05	1	2	0	0.354870080947876	1	0
I_deed_H04-I_deed_H05	1	1	1	0.07954192161560059	0	0
I_peak_F08-I_peak_F05	1	1	1	1.1566007137298584	0	0
i_tick_F06-I_teak_F09	2	2	1	0.13906311988830566	0	0
I_beak_H04-I_beak_H09	1	2	0	0.10941100120544434	1	0
I_seek_F07-i_sick_F09	2	2	1	0.11392784118652344	0	0

#TotalErreurs#8#TempsTotal#2min 5sec
