#Tue Mar 16 14:49:39 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_peak_H06-I_peak_H08	1	1	1	1.1105999946594238	0	0
i_tick_H04-I_teak_H07	2	2	1	0.6241998672485352	0	0
i_bin_H06-I_bean_H04	2	2	1	0.5136229991912842	0	0
i_bik_F08-I_beak_F04	2	2	1	0.5507020950317383	0	0
i_tick_F05-i_tick_F08	1	2	0	0.5208289623260498	1	0
i_min_H05-i_min_H09	1	1	1	0.6535670757293701	0	0
I_mean_F07-i_min_F04	2	2	1	0.3326430320739746	0	0
i_bin_F05-i_bin_F04	1	2	0	0.3461802005767822	1	0
I_keep_F04-I_keep_F08	1	1	1	0.27039289474487305	0	0
i_chip_H07-i_cheap_H04	1	2	0	0.756986141204834	1	0
i_sick_F06-I_seek_F05	2	2	1	0.2713298797607422	0	0
i_did_F04-I_deed_F09	2	2	1	0.3847970962524414	0	0
i_bik_F04-I_beak_F06	2	2	1	0.24824118614196777	0	0
I_mean_H08-I_mean_H06	1	2	0	0.3235149383544922	1	0
I_teak_H07-i_tick_H04	2	2	1	0.42060399055480957	0	0
i_bin_F06-I_bean_F04	2	2	1	0.5415449142456055	0	0
I_keep_H08-I_keep_H06	1	1	1	0.6955299377441406	0	0
i_did_F07-i_did_F04	1	2	0	0.4269869327545166	1	0
i_did_F05-i_did_F07	1	1	1	0.6451451778411865	0	0
I_bean_H04-I_bean_H09	1	2	0	0.624474287033081	1	0
I_peak_F09-i_pick_F05	2	2	1	1.4651000499725342	0	0
I_teak_H06-I_teak_H08	1	2	0	0.2554128170013428	1	0
i_bin_H04-I_bean_H05	2	1	0	0.1117861270904541	1	0
i_kip_H06-I_keep_H05	2	2	1	0.6082701683044434	0	0
I_keep_H05-i_kip_H04	2	2	1	0.5231411457061768	0	0
i_sick_H06-I_seek_H05	2	2	1	0.6430130004882812	0	0
I_teak_H09-i_tick_H05	2	2	1	0.5624849796295166	0	0
I_seek_F04-I_seek_F05	1	1	1	0.49176812171936035	0	0
i_bin_F04-I_bean_F05	2	2	1	0.2610180377960205	0	0
I_cheap_F09-i_cheap_F08	2	1	0	0.02815985679626465	1	0

#TotalErreurs#9#TempsTotal#2min 12sec
