#Wed Jan 27 17:57:16 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_did_H09-i_did_H04	1	1	1	0.7488751411437988	0	1
i_sick_H05-i_sick_H04	1	1	1	1.8124561309814453	0	0
i_tick_F08-I_teak_F05	2	1	0	2.4340600967407227	1	0
I_bean_F05-i_bin_F06	2	2	1	3.3905410766601562	0	0
i_kip_F04-I_keep_F07	2	2	1	1.4858460426330566	0	0
I_beak_H06-I_beak_H05	1	1	1	0.9180989265441895	0	0
i_bik_F08-I_beak_F04	2	2	1	0.20311975479125977	0	1
i_pick_F04-I_peak_F09	2	1	0	0.9843521118164062	1	0
I_cheap_H05-i_cheap_H07	2	1	0	1.0452449321746826	1	1
I_peak_F08-I_peak_F05	1	1	1	2.182926893234253	0	0
i_chip_H09-i_cheap_H06	1	2	0	0.4238779544830322	1	0
I_keep_H05-i_kip_H04	2	1	0	0.1972050666809082	1	2
i_chip_F08-I_chip_F06	2	2	1	1.1924850940704346	0	0
I_peak_F07-i_pick_F09	2	1	0	0.6848750114440918	1	0
i_bik_H09-i_bik_H08	1	1	1	0.8384349346160889	0	1
I_deed_F08-I_deed_F05	1	1	1	0.26712703704833984	0	1
I_deed_H06-I_deed_H09	1	2	0	1.20810866355896	1	1
I_leak_F04-I_leak_F06	1	1	1	0.907951831817627	0	0
i_kip_F09-i_kip_F06	1	1	1	0.9062309265136719	0	1
i_tick_F07-i_tick_F06	1	2	0	0.11088681221008301	1	1
i_pick_F09-i_pick_F07	1	1	1	1.156224012374878	0	0
i_min_F08-I_mean_F07	2	2	1	0.7756447792053223	0	0
i_tick_H06-I_teak_H09	2	2	1	0.9021313190460205	0	0
i_sick_H04-I_seek_H07	2	1	0	0.5286407470703125	1	0
I_peak_H07-i_pick_H09	2	1	0	0.09816312789916992	1	1
i_lick_F06-I_leak_F08	2	2	1	1.3088698387145996	0	0
I_cheap_F04-I_chip_F05	1	2	0	0.30187487602233887	1	0
i_chip_F07-i_cheap_F04	1	1	1	1.3502380847930908	0	0
I_deed_F04-I_deed_F05	1	1	1	0.08713698387145996	0	0
i_did_F07-i_did_F04	1	2	0	0.21874594688415527	1	0

#TotalErreurs#12#TempsTotal#5min 32sec
