#Tue Feb  9 16:41:29 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_cheap_F07-i_cheap_F06	2	1	0	0.06492813100339845	1	1
i_min_F04-I_mean_F08	2	2	1	0.8460491180012468	0	0
i_tick_F07-i_tick_F06	1	1	1	0.5076464309968287	0	1
I_peak_H06-I_peak_H08	1	1	1	0.5451574650069233	0	0
i_chip_F09-i_cheap_F06	1	2	0	11.069717959995614	1	0
I_mean_F06-I_mean_F04	1	1	1	0.4885997629899066	0	0
i_bin_F09-i_bin_F06	1	1	1	0.34311614598846063	0	0
I_peak_H09-i_pick_H05	2	2	1	0.28530109600978903	0	1
I_peak_F07-i_pick_F09	2	1	0	0.49238024599617347	1	0
I_peak_F04-I_peak_F07	1	1	1	1.0270852340036072	0	1
I_keep_H08-I_keep_H06	1	1	1	1.377868284995202	0	0
I_beak_F08-I_beak_F09	1	1	1	0.3161657029995695	0	1
i_chip_H05-i_cheap_H08	1	1	1	0.36825648399826605	0	1
I_seek_F06-I_seek_F05	1	1	1	0.5950485179928364	0	0
I_mean_H04-I_mean_H09	1	1	1	0.3192130490060663	0	1
I_peak_H08-I_peak_H05	1	1	1	0.5667522410076344	0	1
i_kip_H04-I_keep_H07	2	2	1	4.064340099997935	0	1
i_sick_H08-I_seek_H09	2	2	1	1.1554006280057365	0	0
i_chip_H08-I_chip_H06	2	1	0	0.2756392150040483	1	1
I_leak_H07-i_lick_H04	2	2	1	1.05290011499892	0	0
i_tick_F04-I_teak_F07	2	2	1	0.7908544790116139	0	0
I_leak_F09-i_lick_F08	2	1	0	0.49134497198974714	1	0
I_keep_H04-I_keep_H08	1	2	0	0.0690506609971635	1	0
i_chip_F06-I_chip_F05	2	1	0	0.839873496996006	1	0
I_seek_H07-i_sick_H09	2	2	1	0.5673556979891146	0	0
I_beak_H06-I_beak_H05	1	1	1	0.4858291020063916	0	0
i_tick_F08-I_teak_F05	2	2	1	0.5853251420048764	0	0
I_deed_H09-i_did_H07	2	1	0	0.3180611349962419	1	0
i_chip_H06-I_chip_H05	2	1	0	0.07314641500124708	1	0
I_seek_H04-I_seek_H05	1	1	1	0.411237763997633	0	0

#TotalErreurs#9#TempsTotal#3min 8sec
