Mon Feb 15 16:23:13 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
v_mutt_H08	mutt	v	v	1.820143222808838	0	1
v_putt_H07	putt	v	A	1.6662697792053223	1	0
A_lark_F07	lark	A	v	2.7249269485473633	1	0
a_pat_F05	pat	a	a	2.1311440467834473	0	0
v_luck_H04	luck	v	v	1.832629919052124	0	0
A_lark_F06	lark	A	v	1.8119652271270752	1	0
i_lick_F06	lick	i	i	2.6978940963745117	0	0
a_lack_F07	lack	a	a	1.8445701599121094	0	0
i_chip_H05	chip	i	i	3.482839822769165	0	0
a_back_H04	back	a	a	2.2189619541168213	0	0
I_bean_H08	bean	I	I	2.1074259281158447	0	0
A_lark_H04	lark	A	v	1.7913389205932617	1	0
I_beak_F04	beak	I	i	0.6575930118560791	1	1
I_leak_H07	leak	I	I	2.469493865966797	0	0
v_mutt_H04	mutt	v	v	2.177198648452759	0	0
a_back_F04	back	a	a	1.5390160083770752	0	0
A_lark_F05	lark	A	A	2.879533052444458	0	0
i_lick_H04	lick	i	i	1.9372663497924805	0	1
I_leak_H06	leak	I	I	1.7808823585510254	0	0
I_cheap_F09	cheap	I	I	3.723694086074829	0	0
i_chip_H08	chip	i	i	1.7831850051879883	0	0
i_bik_F05	bik	i	i	2.0173251628875732	0	0
i_chip_F07	chip	i	i	3.6771888732910156	0	0
v_cup_F07	cup	v	v	1.69331693649292	0	0
I_mean_H07	mean	I	I	2.0719010829925537	0	0
v_buck_F04	buck	v	v	1.9033591747283936	0	0
i_lick_F08	lick	i	i	2.222956895828247	0	1
A_mart_F08	mart	A	v	1.7388970851898193	1	1
v_cup_H07	cup	v	v	1.9002981185913086	0	0
i_min_F09	min	i	i	2.6438820362091064	0	0

#TotalErreurs#6#TempsTotal#2min 40sec
