#Mon Feb 15 16:01:18 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_lick_H04-I_leak_H07	2	1	0	0.3398857116699219	1	4
I_keep_F04-I_keep_F08	1	2	0	0.23012208938598633	1	2
I_deed_H05-i_did_H04	2	2	1	0.4875519275665283	0	1
I_peak_F08-I_peak_F05	1	1	1	0.6150820255279541	0	0
I_peak_H05-i_pick_H06	2	2	1	1.7605962753295898	0	0
i_chip_H09-i_cheap_H06	1	2	0	1.0800178050994873	1	0
i_pick_F09-i_pick_F07	1	1	1	0.607269287109375	0	0
i_kip_F09-i_kip_F06	1	1	1	0.7081632614135742	0	1
i_chip_H08-I_chip_H06	2	1	0	1.0220837593078613	1	0
I_deed_F07-i_did_F05	2	2	1	0.22493600845336914	0	0
i_kip_H04-I_keep_H07	2	1	0	1.1689438819885254	1	0
I_deed_F05-i_did_F04	2	2	1	0.5874686241149902	0	0
I_cheap_H04-I_chip_H05	1	2	0	0.3852269649505615	1	0
I_mean_F06-I_mean_F04	1	1	1	0.40811896324157715	0	0
I_bean_H06-I_bean_H05	1	1	1	0.9564268589019775	0	0
i_kip_H06-I_keep_H05	2	1	0	0.9314019680023193	1	0
i_did_F09-i_did_F04	1	1	1	0.39087915420532227	0	0
i_pick_H08-I_peak_H06	2	1	0	1.0995349884033203	1	1
i_bin_F05-i_bin_F04	1	1	1	0.719059944152832	0	0
I_bean_F09-i_bin_F06	2	2	1	0.4169120788574219	0	0
i_tick_H09-i_tick_H07	1	1	1	0.5888078212738037	0	0
I_leak_F07-i_lick_F04	2	1	0	0.7784299850463867	1	0
i_tick_F06-I_teak_F09	2	1	0	0.6360640525817871	1	0
I_keep_H08-I_keep_H06	1	1	1	0.5067131519317627	0	0
I_teak_F05-i_tick_F04	2	2	1	0.34496378898620605	0	0
i_bin_F07-i_bin_F09	1	1	1	0.2403273582458496	0	0
i_sick_H04-I_seek_H07	2	2	1	0.5610160827636719	0	0
i_did_H08-I_deed_H05	2	2	1	0.07545185089111328	0	0
I_mean_H07-i_min_H04	2	1	0	0.0898888111114502	1	0
i_tick_H06-I_teak_H09	2	2	1	0.3000938892364502	0	0

#TotalErreurs#11#TempsTotal#3min 54sec
