#Fri Apr  9 15:31:12 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
A_mart_H09-v_mutt_H05	2	2	1	0.7762787030005711	0	1
v_cud_F04-A_card_F07	2	1	0	0.49006629700306803	1	1
A_lark_H09-v_luck_H06	2	1	0	0.027388583002903033	1	1
A_carp_H04-A_carp_H05	1	1	1	1.7676140149997082	0	0
A_park_F05-v_puck_F09	2	2	1	0.9587090730019554	0	0
A_mart_F09-v_mutt_F05	2	2	1	5.470605434999015	0	1
A_lark_H06-A_lark_H05	1	2	0	21.320276070000546	1	0
v_puck_H06-A_park_H08	2	2	1	2.678829377000511	0	0
v_bun_H07-v_bun_H06	1	2	0	0.024269564997666748	1	1
A_carp_H09-v_cup_H08	2	2	1	1.113560839999991	0	0
A_mart_F07-v_mutt_F09	2	2	1	1.0841088679990207	0	1
A_mart_H06-A_mart_H05	1	1	1	1.414013238001644	0	0
v_putt_H08-A_part_H04	2	2	1	0.7496742369985441	0	0
v_mutt_H04-A_mart_H07	2	2	1	0.5698366929973417	0	1
v_putt_H05-v_putt_H06	1	1	1	0.3625372280002921	0	2
v_putt_F09-v_putt_F08	1	2	0	0.024786766000033822	1	0
A_part_H04-A_part_H09	1	2	0	0.4460919699995429	1	2
v_puck_H08-A_park_H07	2	1	0	0.030876139000611147	1	1
v_cud_F05-v_cud_F04	1	2	0	0.34389858299982734	1	4
A_park_F09-v_puck_F08	2	2	1	1.2781537549999484	0	0
A_carp_F09-v_cup_F08	2	1	0	0.7802697500010254	1	1
A_carp_H08-A_carp_H07	1	2	0	0.027826920999359572	1	1
A_mart_F04-A_mart_F05	1	1	1	0.6405648030013253	0	1
v_buck_F05-v_buck_F09	1	2	0	0.02506053300021449	1	1
v_tut_F06-A_tart_F09	2	2	1	0.3639375620005012	0	1
v_cut_H08-A_cart_H05	2	2	1	0.8454233070006012	0	0
v_cut_F04-A_cart_F09	2	2	1	1.8532744429976447	0	1
v_cud_H07-v_cud_H08	1	1	1	0.5015644730010536	0	2
v_bun_F04-A_barn_F09	2	2	1	0.7506879230022605	0	1
A_part_F07-v_putt_F04	2	2	1	0.37005732000034186	0	1

#TotalErreurs#11#TempsTotal#6min 54sec
