#00#Tue Apr 13 10:08:46 2021#ListeOddity_1.txt
Vowel	Sound Files	Response	FirstResponse	Result	Response Time	NbErreurs	nbRepetitions
I_leak_H09-i_lick_H04-I_leak_H07	i	2	2	1	2.5408712299999934	0	0
a_back_H08-a_back_H07-v_buck_H06	v	3	2	0	0.026217679999945176	2	0
A_part_F09-v_putt_F04-v_putt_F05	A	1	1	1	1.3355295320000096	0	0
A_bark_H06-v_buck_H04-A_bark_H09	v	2	2	1	0.38345515499986504	0	0
a_cap_F07-v_cup_F09-v_cup_F05	a	1	1	1	1.1111988400000428	0	0
A_carp_F05-v_cup_F06-A_carp_F07	v	2	2	1	0.02738106600008905	0	0
i_chip_H05-i_chip_H08-I_cheap_H04	I	3	1	0	0.41852745199980745	2	0
A_carp_H05-A_carp_H09-v_cup_H04	v	3	3	1	1.5391423099999884	0	0
v_cup_F07-v_cup_F08-A_carp_F09	A	3	1	0	0.3749909979999302	2	0
v_luck_F04-v_luck_F09-a_lack_F06	a	3	3	1	1.405467950000002	0	0
A_mart_H06-A_mart_H09-v_mutt_H07	v	3	3	1	0.7018464349998794	0	0
a_lack_H06-a_lack_H05-v_luck_H09	v	3	3	1	0.025418684999976904	0	0
A_part_H09-v_putt_H04-v_putt_H05	A	1	1	1	0.6680607400001009	0	0
i_bik_F08-I_beak_F06-i_bik_F09	I	2	2	1	1.2719752569998946	0	0
a_lack_F06-a_lack_F05-v_luck_F09	v	3	3	1	0.02503467599990472	0	0
v_mutt_F08-a_mat_F09-a_mat_F04	v	1	1	1	0.18201305499997034	0	0
I_leak_F09-i_lick_F08-i_lick_F06	I	1	3	0	0.024071140999922136	2	0
v_cup_H05-v_cup_H06-a_cap_H07	a	3	3	1	0.32324040999992576	0	0
a_pat_F09-v_putt_F06-v_putt_F07	a	1	1	1	0.37889533200018377	0	0
v_mutt_F05-a_mat_F08-v_mutt_F06	a	2	2	1	6.03887858500002	0	0
v_mutt_F05-A_mart_F08-A_mart_F06	v	1	1	1	1.8968317150001894	0	0
i_bik_H08-I_beak_H06-i_bik_H09	I	2	2	1	2.0524561350000567	0	0
i_min_H07-I_mean_H04-i_min_H06	I	2	2	1	1.1246422920000896	0	0
v_cup_H06-a_cap_H07-a_cap_H04	v	1	1	1	1.4324605300000712	0	0
v_cup_F07-A_carp_F04-A_carp_F09	v	1	1	1	1.9228665699999965	0	0
A_carp_F05-A_carp_F09-v_cup_F04	v	3	3	1	2.834863931999962	0	0
a_mat_F06-v_mutt_F07-v_mutt_F05	a	1	1	1	2.613267867000104	0	0
I_beak_F06-I_beak_F05-i_bik_F09	i	3	3	1	5.608461895000119	0	0
a_back_F05-v_buck_F08-v_buck_F07	a	1	1	1	3.115741911999976	0	0
v_putt_H08-A_part_H09-v_putt_H05	A	2	2	1	2.1858894159997817	0	0

#TotalErreurs#8TempsTotal#4min 29sec
#00#Thu Apr 15 11:16:31 2021#ListeOddity_1.txt
Vowel	Sound Files	Response	FirstResponse	Result	Response Time	NbErreurs	nbRepetitions
A_bark_F09-A_bark_F04-v_buck_F09	v	3	3	1	0.34354756699985955	0	0
v_buck_H05-A_bark_H09-v_buck_H04	A	2	3	0	0.026289532000191684	2	0
v_buck_H04-v_buck_H05-A_bark_H09	A	3	1	0	12.19038541000009	2	0
a_back_H04-v_buck_H08-a_back_H07	v	2	2	1	3.5913516519999575	0	0
i_bik_F09-I_beak_F07-I_beak_F06	i	1	1	1	3.713596195000264	0	0
v_luck_F05-a_lack_F04-a_lack_F08	v	1	1	1	1.5771355699998821	0	0
i_lick_F09-I_leak_F08-I_leak_F07	i	1	1	1	1.5299214169999686	0	0
A_carp_F05-A_carp_F09-v_cup_F04	v	3	3	1	3.459548363000067	0	0
A_part_F07-v_putt_F06-A_part_F05	v	2	2	1	1.8997709180002857	0	0
i_min_F06-i_min_F05-I_mean_F07	I	3	3	1	2.0485174280001957	0	0
i_lick_F04-I_leak_F05-i_lick_F09	I	2	2	1	1.811794324999937	0	0
I_bean_F07-i_bin_F04-I_bean_F08	i	2	2	1	3.036914103000072	0	0
v_putt_H04-a_pat_H05-a_pat_H06	v	1	1	1	5.082136597000044	0	0
v_luck_H05-a_lack_H04-a_lack_H08	v	1	1	1	2.3051721380002164	0	0
v_mutt_H09-v_mutt_H05-a_mat_H06	a	3	3	1	1.6061812900002224	0	0
I_leak_H09-i_lick_H08-i_lick_H06	I	1	1	1	1.9013350149998587	0	0
A_mart_H08-v_mutt_H04-A_mart_H05	v	2	2	1	3.8811294199999793	0	0
v_putt_H08-A_part_H09-v_putt_H05	A	2	2	1	3.0763680549998753	0	0
I_cheap_F04-i_chip_F07-i_chip_F05	I	1	1	1	1.5767220770003405	0	0
A_carp_F08-v_cup_F06-v_cup_F09	A	1	1	1	6.236764905999735	0	0
v_luck_H08-A_lark_H06-A_lark_H04	v	1	1	1	2.2331070529999124	0	0
v_cup_F07-v_cup_F08-A_carp_F09	A	3	3	1	13.368824933000269	0	0
i_chip_H05-i_chip_H08-I_cheap_H04	I	3	3	1	19.50165069700006	0	0
v_mutt_H05-v_mutt_H07-A_mart_H08	A	3	3	1	1.486976931999834	0	0
i_bin_F08-i_bin_F09-I_bean_F07	I	3	3	1	1.7231720849999874	0	0
v_putt_F05-v_putt_F07-a_pat_F08	a	3	3	1	1.8677317080000648	0	0
A_lark_H05-A_lark_H04-v_luck_H08	v	3	2	0	0.02449788300009459	2	0
a_cap_H05-a_cap_H07-v_cup_H09	v	3	3	1	1.9989467230002447	0	0
v_mutt_F09-v_mutt_F05-a_mat_F06	a	3	3	1	1.8525165480000396	0	0
I_leak_F08-I_leak_F07-i_lick_F05	i	3	3	1	0.024452189999919938	0	0

#TotalErreurs#6TempsTotal#5min 48sec
#00#Wed Apr 21 17:24:28 2021#ListeOddity_1.txt
Vowel	Sound Files	Response	FirstResponse	Result	Response Time	NbErreurs	nbRepetitions
v_luck_H08-A_lark_H06-A_lark_H04	v	1	1	1	3.7322626969980774	0	0
v_luck_H04-v_luck_H08-A_lark_H06	A	3	1	0	2.7413241649992415	2	0
v_cup_H07-a_cap_H08-v_cup_H04	a	2	3	0	0.39145597199967597	2	0
I_cheap_H04-i_chip_H07-i_chip_H05	I	1	1	1	2.0190658300016366	0	0
a_mat_H04-a_mat_H05-v_mutt_H08	v	3	3	1	0.6284720279982139	0	0
v_putt_H05-v_putt_H07-a_pat_H08	a	3	3	1	4.791903871999239	0	0
i_min_H07-I_mean_H04-I_mean_H05	i	1	1	1	0.0245516460017825	0	0
i_bin_H04-I_bean_H09-I_bean_H07	i	1	1	1	0.13176803500027745	0	0
i_chip_F07-I_cheap_F09-I_cheap_F04	i	1	1	1	0.028508759998658206	0	0
v_luck_F04-v_luck_F08-A_lark_F06	A	3	1	0	0.026345493002736475	2	0
v_mutt_H05-A_mart_H08-A_mart_H06	v	1	1	1	4.614036957002099	0	0
v_buck_F05-A_bark_F04-A_bark_F07	v	1	2	0	0.6479290130009758	2	0
v_cup_H06-a_cap_H07-a_cap_H04	v	1	1	1	0.5077455700011342	0	0
a_back_F04-v_buck_F08-a_back_F07	v	2	2	1	0.8963165499990282	0	0
v_cup_F06-a_cap_F07-a_cap_F04	v	1	1	1	0.4337348799999745	0	0
A_bark_H06-v_buck_H04-A_bark_H09	v	2	2	1	1.9383784279998508	0	0
I_bean_H06-i_bin_H09-i_bin_H07	I	1	1	1	2.723931692999031	0	0
v_luck_F09-A_lark_F05-v_luck_F07	A	2	2	1	2.89353185499931	0	0
a_pat_H08-a_pat_H06-v_putt_H04	v	3	3	1	1.9300575679990288	0	0
v_luck_F05-a_lack_F06-v_luck_F07	a	2	2	1	1.9774492230026226	0	0
