#Wed Apr 21 20:33:21 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_luck_F07	luck	v	1.4034531116485596	0	0
a_cat_F07	cat	a	0.8720037937164307	0	0
a_ban_H08	ban	a	1.350067377090454	0	0
v_bun_H06	bun	v	1.2186081409454346	0	0
a_back_H08	back	a	1.2190217971801758	0	0
a_cat_F06	cat	a	1.1648240089416504	0	0
v_mutt_F09	mutt	v	1.3286850452423096	0	0
v_cup_H05	cup	v	1.102485179901123	0	0
v_puck_H04	puck	v	0.15694117546081543	1	2
a_cad_F07	cad	a	1.372063159942627	0	0
v_luck_F08	luck	v	1.200192928314209	0	0
v_bun_H04	bun	v	1.3710620403289795	0	0
a_pack_H06	pack	a	1.0866279602050781	0	0
v_buck_F05	buck	v	0.14797711372375488	1	0
a_tat_F07	tat	a	1.4186623096466064	0	0
v_putt_H04	putt	v	1.7956130504608154	0	0
a_cad_H07	cad	a	1.0689380168914795	0	0
a_mat_F04	mat	a	1.2662971019744873	0	0
v_luck_F05	luck	v	1.8100502490997314	0	0
a_pat_H05	pat	a	0.9668958187103271	0	0
v_tut_F07	tut	v	1.0717880725860596	0	0
v_cup_F08	cup	v	0.9684329032897949	0	0
a_cad_F04	cad	a	1.0749702453613281	0	0
v_putt_F04	putt	v	2.1134631633758545	0	0
v_putt_H09	putt	v	1.2837769985198975	0	1
a_cat_H04	cat	a	1.693640947341919	0	0
v_mutt_H09	mutt	v	1.2811269760131836	0	0
v_cud_H04	cud	v	2.0616860389709473	0	0
v_putt_H06	putt	v	1.2586359977722168	0	0
v_cud_H09	cud	v	2.2127299308776855	0	0

#TotalErreurs#2TempsTotal#1min 40sec
