#Thu Apr 29 18:45:43 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_kip_H07-i_kip_H08	1	1	1	0.9366469383239746	0	0
I_cheap_H08-I_chip_H07	1	1	1	1.431067943572998	0	0
I_keep_F08-I_keep_F06	1	1	1	4.774967193603516	0	0
I_bean_H06-I_bean_H05	1	1	1	0.4764821529388428	0	0
I_bean_H09-i_bin_H06	2	2	1	0.4289216995239258	0	0
I_seek_H05-i_sick_H07	2	2	1	1.0133321285247803	0	0
I_cheap_F06-I_chip_F07	1	2	0	0.9371418952941895	1	0
i_bin_H04-I_bean_H05	2	2	1	0.7734489440917969	0	0
I_peak_F04-I_peak_F07	1	1	1	1.435117244720459	0	0
I_beak_F04-I_beak_F09	1	1	1	0.788217306137085	0	0
i_did_F08-I_deed_F05	2	2	1	0.43987178802490234	0	0
i_did_F07-i_did_F04	1	2	0	0.9331858158111572	1	0
I_beak_H07-i_bik_H04	2	2	1	0.8138103485107422	0	1
I_seek_H09-i_sick_H05	2	2	1	1.5302057266235352	0	0
I_teak_F05-i_tick_F04	2	2	1	0.9265530109405518	0	0
I_peak_H07-i_pick_H09	2	2	1	2.1634721755981445	0	0
i_chip_F06-I_chip_F05	2	1	0	0.06695294380187988	1	0
I_deed_F09-i_did_F07	2	2	1	2.4588849544525146	0	0
I_seek_F07-i_sick_F09	2	2	1	1.4181621074676514	0	0
i_bik_F09-i_bik_F08	1	1	1	0.7264182567596436	0	1
i_bin_F05-i_bin_F04	1	2	0	2.3435020446777344	1	1
I_mean_H05-i_min_H08	2	2	1	0.9594438076019287	0	0
i_min_F09-i_min_F04	1	1	1	1.644270896911621	0	0
I_deed_H05-i_did_H04	2	2	1	1.710127830505371	0	0
I_keep_F09-i_kip_F06	2	2	1	1.216850996017456	0	0
i_sick_F04-I_seek_F07	2	2	1	0.5766270160675049	0	0
i_pick_F08-I_peak_F06	2	2	1	0.4939000606536865	0	0
I_teak_H08-I_teak_H04	1	1	1	1.3763318061828613	0	0
i_kip_H09-i_kip_H06	1	1	1	1.1319396495819092	0	0
i_min_H04-I_mean_H08	2	2	1	1.0398809909820557	0	0

#TotalErreurs#4#TempsTotal#2min 33sec
