Wed Mar 03 20:25:44 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
i_lick_F04	lick	i	a	6.282676935195923	1	2
A_carp_F04	carp	A	v	1.368145227432251	1	0
i_min_F04	min	i	i	2.9881138801574707	0	0
I_leak_H06	leak	I	I	2.64925217628479	0	0
A_bark_H05	bark	A	A	1.9621660709381104	0	6
I_cheap_H06	cheap	I	i	0.9108309745788574	1	1
i_chip_F07	chip	i	i	1.4121649265289307	0	0
a_lack_F05	lack	a	a	2.146043062210083	0	0
i_chip_H07	chip	i	I	0.8807382583618164	1	2
v_buck_H08	buck	v	v	1.3774492740631104	0	1
I_mean_F08	mean	I	I	2.778743028640747	0	0
i_bik_H05	bik	i	i	2.915363073348999	0	1
i_bik_F08	bik	i	i	1.1864111423492432	0	1
v_luck_F04	luck	v	v	1.2165429592132568	0	1
v_mutt_F06	mutt	v	A	1.5411839485168457	2	0
a_pat_H04	pat	a	a	1.8670921325683594	0	0
A_mart_H08	mart	A	v	1.2063980102539062	1	1
a_back_H07	back	a	a	1.7097687721252441	0	0
a_lack_H09	lack	a	A	1.2043228149414062	1	1
a_mat_F07	mat	a	a	2.5637738704681396	0	0
I_beak_F05	beak	I	I	0.9334158897399902	0	1
v_luck_F05	luck	v	v	1.6191906929016113	0	0
i_bik_F09	bik	i	i	1.5612719058990479	0	0
A_part_F07	part	A	A	3.032357692718506	0	0
i_lick_H05	lick	i	i	1.6890790462493896	0	0
I_mean_F06	mean	I	I	2.4980781078338623	0	0
I_beak_H07	beak	I	i	1.176496982574463	1	1
i_bik_H07	bik	i	i	1.411926031112671	0	0
v_mutt_H08	mutt	v	A	1.254014015197754	1	0
i_lick_H08	lick	i	i	1.872668981552124	0	0

#TotalErreurs#10#TempsTotal#3min 38sec
