#Sat Jan 30 21:51:22 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_putt_F05-v_putt_F06	1	1	1	0.5241520404815674	0	0
v_tut_F09-v_tut_F07	1	1	1	0.4310309886932373	0	0
A_bark_H09-v_buck_H07	2	2	1	0.40955114364624023	0	0
A_mart_F06-A_mart_F05	1	1	1	1.1284959316253662	0	2
v_luck_H05-v_luck_H04	1	1	1	0.3320460319519043	0	0
v_cut_H09-v_cut_H04	1	1	1	0.33490777015686035	0	0
A_lark_H05-v_luck_H06	2	1	0	0.36139798164367676	1	0
v_putt_F04-A_part_F06	2	2	1	0.8117702007293701	0	0
A_cart_F05-v_cut_F04	2	1	0	0.12282609939575195	1	0
A_cart_F04-A_cart_F05	1	1	1	0.4795267581939697	0	0
A_bark_F05-v_buck_F08	2	2	1	0.26532697677612305	0	0
A_barn_H04-A_barn_H07	1	2	0	0.2319650650024414	1	0
A_lark_H06-A_lark_H05	1	1	1	0.24401617050170898	0	0
v_putt_H09-v_putt_H08	1	1	1	0.2693500518798828	0	0
A_card_H09-v_cud_H06	2	1	0	0.5062329769134521	1	0
v_cud_H05-v_cud_H04	1	1	1	0.24750590324401855	0	1
v_luck_H04-A_lark_H05	2	2	1	1.2683250904083252	0	0
A_lark_H08-A_lark_H09	1	1	1	0.2240290641784668	0	0
v_puck_F08-A_park_F07	2	1	0	0.4750337600708008	1	0
A_park_F05-v_puck_F09	2	2	1	0.20041704177856445	0	1
v_luck_F08-A_lark_F09	2	2	1	0.46180200576782227	0	0
A_part_H06-A_part_H05	1	1	1	0.4830338954925537	0	0
v_mutt_H04-A_mart_H07	2	2	1	0.1705760955810547	0	0
v_bun_F06-A_barn_F07	2	1	0	0.26040196418762207	1	0
A_carp_F09-v_cup_F08	2	2	1	0.1429131031036377	0	1
v_cut_F08-A_cart_F05	2	2	1	0.3738822937011719	0	0
v_buck_H08-A_bark_H07	2	2	1	0.38344717025756836	0	0
A_barn_H06-A_barn_H08	1	2	0	0.10400915145874023	1	0
v_tut_H07-v_tut_H06	1	1	1	0.20570898056030273	0	1
v_tut_F04-A_tart_F07	2	1	0	1.1264538764953613	1	0

#TotalErreurs#8#TempsTotal#2min 24sec
