#Sat Mar 13 21:42:04 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_tat_H05-v_tut_H04	2	2	1	2.865955114364624	0	1
v_puck_H08-a_pack_H07	2	2	1	1.9106676578521729	0	0
a_back_H08-a_back_H06	1	1	1	0.6861302852630615	0	0
v_cut_F09-v_cut_F04	1	1	1	0.8670198917388916	0	0
a_ban_F05-v_bun_F06	2	2	1	0.6117711067199707	0	0
v_tut_F07-v_tut_F06	1	1	1	0.135026216506958	0	0
a_lack_F04-a_lack_F09	1	1	1	0.3063938617706299	0	0
a_cat_H09-v_cut_H07	2	2	1	1.0259621143341064	0	0
v_putt_H09-v_putt_H08	1	1	1	1.0080680847167969	0	0
a_cap_H04-a_cap_H05	1	2	0	0.17940521240234375	1	1
a_cad_H07-v_cud_H09	2	2	1	1.8354260921478271	0	1
v_puck_H04-a_pack_H07	2	2	1	0.42689013481140137	0	0
a_tat_F09-v_tut_F05	2	2	1	0.718735933303833	0	0
v_puck_F07-v_puck_F08	1	1	1	0.39364194869995117	0	0
a_pat_H09-v_putt_H04	2	1	0	0.5972602367401123	1	0
a_ban_F07-v_bun_F09	2	2	1	0.7036271095275879	0	1
v_mutt_F08-a_mat_F09	2	2	1	0.18091297149658203	0	1
a_ban_H09-v_bun_H05	2	2	1	0.42170190811157227	0	0
v_tut_F09-v_tut_F07	1	1	1	0.10378098487854004	0	0
v_cup_F06-a_cap_F05	2	2	1	0.0886540412902832	0	0
a_back_F04-a_back_F09	1	1	1	0.6938891410827637	0	0
a_pat_H07-v_putt_H04	2	1	0	0.7691278457641602	1	0
v_buck_F07-v_buck_F08	1	1	1	0.4152710437774658	0	0
v_luck_F06-a_lack_F04	2	2	1	0.06250596046447754	0	1
v_putt_F04-a_pat_F06	2	2	1	0.12852931022644043	0	0
a_pack_H04-a_pack_H06	1	1	1	0.06250596046447754	0	0
v_cud_H04-a_cad_H07	2	2	1	0.13016295433044434	0	0
a_cat_F04-a_cat_F05	1	1	1	0.14063000679016113	0	0
v_putt_H04-a_pat_H06	2	1	0	0.7259912490844727	1	1
v_tut_H06-a_tat_H09	2	2	1	0.5089230537414551	0	0

#TotalErreurs#4#TempsTotal#2min 23sec
