#Sun Jan 31 20:34:51 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_peak_F04-I_peak_F07	1	1	1	0.33908581733703613	0	0
i_did_F06-I_deed_F09	2	2	1	0.15529394149780273	0	0
I_teak_H09-i_tick_H05	2	1	0	0.14811921119689941	1	0
i_min_H04-I_mean_H08	2	1	0	0.05538606643676758	1	0
i_kip_F08-I_keep_F04	2	2	1	0.663625955581665	0	0
i_pick_F04-I_peak_F09	2	2	1	0.4414489269256592	0	0
i_pick_H07-i_pick_H06	1	1	1	0.1758558750152588	0	0
I_beak_H09-i_bik_H04	2	1	0	0.15231990814208984	1	0
I_seek_H06-I_seek_H05	1	1	1	0.7855749130249023	0	0
i_sick_H07-i_sick_H08	1	2	0	2.517209053039551	1	0
i_tick_H09-i_tick_H07	1	1	1	0.6112568378448486	0	1
I_bean_F05-i_bin_F06	2	2	1	0.4361999034881592	0	0
i_kip_H08-I_keep_H04	2	2	1	0.6374490261077881	0	0
i_tick_H06-I_teak_H09	2	1	0	0.17675209045410156	1	0
I_seek_H04-I_seek_H05	1	1	1	1.0297801494598389	0	0
I_seek_F09-i_sick_F05	2	1	0	0.27228498458862305	1	0
i_bin_F08-I_bean_F09	2	2	1	0.7286698818206787	0	0
I_teak_H04-I_teak_H08	1	1	1	0.6214330196380615	0	0
I_keep_F09-i_kip_F06	2	2	1	0.6116929054260254	0	0
I_deed_F04-I_deed_F05	1	1	1	0.31264305114746094	0	0
I_teak_F07-i_tick_F04	2	2	1	0.8833792209625244	0	0
I_peak_F08-I_peak_F05	1	1	1	0.36382222175598145	0	0
i_tick_H08-I_teak_H05	2	1	0	0.724416971206665	1	0
i_kip_F04-I_keep_F07	2	2	1	0.3608860969543457	0	0
I_peak_H06-I_peak_H08	1	1	1	0.7477502822875977	0	0
I_seek_H09-i_sick_H05	2	2	1	2.1212496757507324	0	0
I_bean_F04-I_bean_F09	1	2	0	0.30132484436035156	1	0
i_did_F08-I_deed_F05	2	2	1	0.24981284141540527	0	1
I_cheap_H07-i_cheap_H06	2	1	0	0.41135716438293457	1	0
I_leak_F09-i_lick_F08	2	2	1	1.935042142868042	0	0

#TotalErreurs#9#TempsTotal#2min 31sec
