#Sat Mar 13 21:46:54 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_deed_F05-i_did_F04	2	2	1	0.39123988151550293	0	0
I_cheap_F07-i_cheap_F06	2	2	1	0.2378990650177002	0	0
I_mean_H07-i_min_H04	2	2	1	0.5983190536499023	0	0
I_keep_F05-i_kip_F04	2	2	1	0.3260200023651123	0	0
i_pick_F07-i_pick_F06	1	1	1	0.7847609519958496	0	0
i_tick_H09-i_tick_H07	1	2	0	0.8580098152160645	1	0
I_seek_F09-i_sick_F05	2	2	1	0.5937378406524658	0	0
i_min_F04-I_mean_F08	2	2	1	0.18739891052246094	0	0
I_deed_H08-I_deed_H05	1	1	1	0.609886884689331	0	0
i_pick_H04-I_peak_H09	2	2	1	0.45383214950561523	0	0
i_kip_F05-i_kip_F04	1	1	1	0.3155190944671631	0	0
i_min_H04-I_mean_H08	2	1	0	1.4852540493011475	1	0
I_cheap_F06-I_chip_F07	1	2	0	0.10233497619628906	1	0
i_bin_F08-I_bean_F09	2	2	1	0.8195068836212158	0	0
i_tick_H04-I_teak_H07	2	2	1	0.16477489471435547	0	1
I_seek_H06-I_seek_H05	1	1	1	0.05790424346923828	0	0
i_bik_H04-I_beak_H06	2	1	0	0.17223405838012695	1	0
I_keep_F04-I_keep_F08	1	1	1	0.7891678810119629	0	0
i_sick_H07-i_sick_H08	1	1	1	1.0426781177520752	0	0
i_sick_F08-I_seek_F09	2	2	1	0.9479548931121826	0	0
I_teak_H09-i_tick_H05	2	1	0	1.0063750743865967	1	0
i_tick_H06-I_teak_H09	2	1	0	0.24078369140625	1	0
i_tick_H08-I_teak_H05	2	1	0	0.08964109420776367	1	0
I_bean_F08-I_bean_F09	1	2	0	0.12090325355529785	1	0
i_sick_H09-i_sick_H06	1	1	1	0.3461148738861084	0	0
i_chip_F09-i_cheap_F06	1	1	1	0.24339628219604492	0	0
i_pick_H05-i_pick_H08	1	1	1	0.6186611652374268	0	0
i_tick_H07-i_tick_H06	1	2	0	0.2014608383178711	1	0
I_deed_F07-i_did_F05	2	1	0	0.5447680950164795	1	0
i_chip_F07-i_cheap_F04	1	1	1	0.2801511287689209	0	0

#TotalErreurs#10#TempsTotal#2min 26sec
