Mon Feb 15 23:46:32 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
I_beak_F04	beak	I	i	0.17184925079345703	2	1
I_cheap_F08	cheap	I	I	1.9788730144500732	0	0
A_part_F06	part	A	A	3.391745090484619	0	0
v_buck_F06	buck	v	v	1.1624579429626465	0	3
I_beak_F07	beak	I	I	1.1367087364196777	0	1
I_cheap_H05	cheap	I	I	1.5241179466247559	0	0
v_luck_H08	luck	v	v	2.1840171813964844	0	0
v_mutt_F06	mutt	v	v	2.375986337661743	0	0
I_beak_F09	beak	I	I	1.6291320323944092	0	0
i_bik_H07	bik	i	i	1.197293758392334	0	0
I_cheap_F05	cheap	I	I	1.124084234237671	0	0
A_lark_H09	lark	A	v	0.2609539031982422	1	0
A_carp_H08	carp	A	v	0.7879543304443359	1	0
v_putt_H04	putt	v	a	0.1833641529083252	1	0
A_bark_F05	bark	A	A	1.6178069114685059	0	1
I_leak_F04	leak	I	I	2.2410261631011963	0	0
I_bean_F06	bean	I	I	1.781337022781372	0	0
a_mat_H05	mat	a	a	1.3854870796203613	0	0
I_leak_H08	leak	I	I	1.6120448112487793	0	0
a_back_H05	back	a	a	1.6497459411621094	0	0
A_bark_H09	bark	A	A	1.5513460636138916	0	0
I_bean_H05	bean	I	I	1.1262500286102295	0	0
A_part_H04	part	A	a	1.2313039302825928	1	0
I_beak_H07	beak	I	I	2.0268139839172363	0	0
i_lick_H07	lick	i	I	0.5515270233154297	2	0
v_mutt_H07	mutt	v	v	2.8137741088867188	0	0
A_part_F07	part	A	v	1.832982063293457	1	0
A_mart_F09	mart	A	v	0.110260009765625	1	0
i_bin_H08	bin	i	I	0.592106819152832	1	0
v_luck_H05	luck	v	v	1.378537893295288	0	0

#TotalErreurs#11#TempsTotal#3min 44sec
