#Tue May 11 18:53:48 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_back_F06	back	a	1.2267851140350103	0	1
a_cap_H05	cap	a	0.8478380840970203	0	5
a_mat_F06	mat	a	1.3437170517863706	0	0
a_back_F09	back	a	1.5881939831888303	0	1
a_cap_F09	cap	a	0.8477958891307935	0	2
a_cad_F05	cad	a	0.9755651124287397	0	1
a_back_F08	back	a	1.1255949841579422	0	1
v_luck_F07	luck	v	1.097794025670737	0	1
a_pack_H09	pack	a	2.258870047517121	0	1
a_pat_F05	pat	a	1.5300339880632237	0	1
a_ban_H08	ban	a	1.3159069116227329	0	2
v_mutt_F08	mutt	v	0.11760210851207376	1	2
a_lack_H06	lack	a	0.11325801687780768	1	1
a_back_H07	back	a	1.4231710935709998	0	1
a_lack_F04	lack	a	1.0353749160422012	0	1
a_mat_F09	mat	a	0.8371860147453845	0	1
v_tut_H06	tut	v	0.10865299846045673	1	2
v_cup_F04	cup	v	0.7054028975544497	0	1
a_pack_F09	pack	a	1.1788920486578718	0	1
a_ban_F05	ban	a	2.6025520890252665	0	1
v_tut_H05	tut	v	0.10881510935723782	1	2
v_mutt_F07	mutt	v	1.2763580158352852	0	0
v_puck_F08	puck	v	0.6827530654845759	1	1
a_lack_F07	lack	a	0.9950580626027659	0	2
v_bun_F08	bun	v	0.8045670196879655	0	1
a_pack_F06	pack	a	0.8932219292037189	0	1
v_cud_H09	cud	v	0.8698520965408534	0	1
a_tat_F08	tat	a	0.7091988928150386	0	1
v_buck_H04	buck	v	0.6887970532989129	0	1
a_cap_F08	cap	a	2.0950488958042115	0	0

#TotalErreurs#5TempsTotal#2min 9sec
