#Wed May 12 13:37:10 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_cut_F04-a_cat_F09	2	1	0	0.8726102411746979	1	0
a_pack_H06-a_pack_H05	1	1	1	0.6380985593423247	0	0
v_cud_F04-a_cad_F07	2	1	0	0.03657262306660414	1	0
a_cat_F08-a_cat_F05	1	1	1	0.21094745816662908	0	0
a_back_H06-a_back_H04	1	1	1	0.8106097867712379	0	0
a_pack_H08-a_pack_H09	1	1	1	0.22944819275289774	0	0
a_lack_F05-v_luck_F06	2	2	1	0.038545436691492796	0	1
v_cut_F07-v_cut_F04	1	1	1	0.320191313046962	0	0
a_pack_H09-v_puck_H08	2	1	0	0.2228607558645308	1	0
a_mat_H07-v_mutt_H09	2	1	0	0.03776033688336611	1	0
a_lack_H05-v_luck_H06	2	2	1	0.5794280972331762	0	1
a_cat_H08-a_cat_H05	1	2	0	1.0075566549785435	1	0
v_putt_F06-a_pat_F07	2	1	0	0.038137183990329504	1	1
v_cut_F09-v_cut_F04	1	1	1	0.11424009222537279	0	1
v_cup_H06-a_cap_H05	2	2	1	1.2306890334002674	0	2
a_pat_F05-v_putt_F06	2	1	0	0.03782053105533123	1	0
v_cup_F07-v_cup_F04	1	1	1	0.4598920247517526	0	0
a_cap_F07-v_cup_F06	2	1	0	0.0445293840020895	1	0
v_luck_H06-a_lack_H04	2	2	1	0.43806539196521044	0	0
v_cut_F08-a_cat_F05	2	2	1	0.5206690658815205	0	0
v_putt_H05-v_putt_H06	1	1	1	0.18808037275448442	0	0
v_cup_H05-v_cup_H08	1	1	1	0.32071357080712914	0	0
v_bun_F07-v_bun_F06	1	1	1	0.4013293730095029	0	0
v_puck_F09-v_puck_F08	1	1	1	0.34746000124141574	0	0
a_mat_H04-a_mat_H05	1	1	1	0.4369767722673714	0	0
a_back_H04-a_back_H09	1	1	1	0.31263620778918266	0	0
a_cap_H09-v_cup_H08	2	2	1	0.03915240382775664	0	1
a_pat_F04-a_pat_F09	1	1	1	0.43985619815066457	0	0
v_buck_F05-v_buck_F09	1	1	1	0.44472713908180594	0	0
a_mat_F04-a_mat_F05	1	1	1	0.34972316306084394	0	0

#TotalErreurs#8#TempsTotal#2min 21sec
