#Wed May 12 13:39:52 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_mutt_H07-v_mutt_H08	1	2	0	0.03652269393205643	1	1
A_tart_H07-v_tut_H04	2	1	0	0.03696657903492451	1	0
v_bun_F06-A_barn_F07	2	1	0	0.03616657992824912	1	1
v_cut_F06-A_cart_F09	2	2	1	0.0440820949152112	0	2
A_part_H07-v_putt_H04	2	1	0	0.03674920229241252	1	0
A_card_H06-A_card_H07	1	1	1	0.07025606511160731	0	0
v_luck_H05-v_luck_H04	1	2	0	0.03676912607625127	1	0
v_puck_F04-A_park_F07	2	1	0	0.03721085609868169	1	0
A_cart_F06-A_cart_F09	1	1	1	0.5568433236330748	0	0
A_lark_F07-v_luck_F08	2	1	0	0.03673684364184737	1	0
v_tut_F08-A_tart_F05	2	2	1	0.8971973187290132	0	0
A_carp_F09-v_cup_F08	2	1	0	0.03693191893398762	1	0
A_mart_H09-v_mutt_H05	2	2	1	0.3505649259313941	0	1
A_part_H04-A_part_H09	1	1	1	0.5538453268818557	0	0
v_cud_H08-A_card_H04	2	1	0	0.03742652200162411	1	0
A_mart_F04-A_mart_F05	1	1	1	0.5517147569917142	0	0
A_barn_H06-A_barn_H08	1	1	1	0.5393824088387191	0	0
A_part_H09-v_putt_H04	2	1	0	0.03725690906867385	1	1
v_cup_H06-A_carp_H05	2	1	0	0.03801370691508055	1	0
A_cart_H05-v_cut_H04	2	2	1	0.727089926134795	0	0
A_mart_F07-v_mutt_F09	2	1	0	0.036903709173202515	1	1
v_luck_H08-A_lark_H09	2	1	0	0.03679866809397936	1	0
v_putt_H08-A_part_H04	2	1	0	0.07126056589186192	1	0
v_cut_H07-v_cut_H04	1	2	0	0.03726981487125158	1	0
A_cart_H08-A_cart_H05	1	1	1	0.38019872084259987	0	1
v_buck_H08-A_bark_H07	2	2	1	0.24232723470777273	0	1
v_cut_F08-A_cart_F05	2	2	1	0.03820282220840454	0	2
A_cart_F05-v_cut_F04	2	2	1	0.4996897126547992	0	0
A_bark_F05-v_buck_F08	2	2	1	0.5149698806926608	0	0
v_buck_F07-v_buck_F08	1	2	0	0.038021469954401255	1	0

#TotalErreurs#16#TempsTotal#2min 59sec
