#00#Thu Mar 11 22:30:15 2021#ListeOddity_1.txt
Vowel	Sound Files	Response	FirstResponse	Result	Response Time	NbErreurs	nbRepetitions
I_leak_H08-I_leak_H07-i_lick_H05	i	3	3	1	0.836392879486084	0	1
i_lick_H09-I_leak_H08-I_leak_H07	i	1	1	1	1.03497314453125	0	0
a_cap_F05-a_cap_F07-v_cup_F09	v	3	3	1	2.11991286277771	0	0
A_part_H07-A_part_H06-v_putt_H05	v	3	3	1	0.4010658264160156	0	0
a_cap_F08-v_cup_F05-a_cap_F07	v	2	3	0	0.5513947010040283	2	1
I_mean_H05-I_mean_H08-i_min_H04	i	3	3	1	0.6119353771209717	0	0
v_luck_F08-A_lark_F06-A_lark_F04	v	1	1	1	0.9880120754241943	0	0
i_min_F07-I_mean_F04-I_mean_F05	i	1	1	1	0.69651198387146	0	0
i_lick_H04-I_leak_H05-i_lick_H09	I	2	2	1	0.8893849849700928	0	0
A_part_H07-v_putt_H06-A_part_H05	v	2	1	0	0.06773900985717773	2	0
I_bean_H04-I_bean_H05-i_bin_H09	i	3	2	0	1.0888121128082275	2	0
i_bik_F08-i_bik_F05-I_beak_F04	I	3	3	1	1.5655651092529297	0	0
I_beak_F06-i_bik_F08-I_beak_F05	i	2	2	1	0.2792930603027344	0	0
v_luck_H05-a_lack_H06-v_luck_H07	a	2	3	0	1.2821629047393799	3	0
a_back_F04-v_buck_F08-a_back_F07	v	2	2	1	0.6138451099395752	0	0
i_chip_H09-I_cheap_H08-i_chip_H07	I	2	2	1	0.7971298694610596	0	0
I_leak_H09-i_lick_H04-I_leak_H07	i	2	2	1	0.6463942527770996	0	0
A_part_F07-v_putt_F06-A_part_F05	v	2	2	1	1.0142090320587158	0	0
a_cap_F07-v_cup_F09-v_cup_F05	a	1	2	0	1.7075631618499756	2	0
v_buck_H05-A_bark_H09-v_buck_H04	A	2	2	1	0.803013801574707	0	1
v_luck_F05-a_lack_F06-v_luck_F07	a	2	3	0	0.22741317749023438	3	1
A_carp_H05-A_carp_H09-v_cup_H04	v	3	3	1	1.028090000152588	0	0
a_pat_F09-v_putt_F06-v_putt_F07	a	1	1	1	1.277698040008545	0	1
A_bark_F06-v_buck_F04-A_bark_F09	v	2	2	1	1.1833720207214355	0	1
I_mean_F05-i_min_F04-i_min_F08	I	1	1	1	0.8814160823822021	0	0
v_luck_F04-v_luck_F08-A_lark_F06	A	3	2	0	0.9904100894927979	2	1
i_bin_F04-I_bean_F09-I_bean_F07	i	1	1	1	0.8728611469268799	0	0
a_mat_H04-v_mutt_H06-a_mat_H09	v	2	2	1	1.2656731605529785	0	1
I_bean_H06-i_bin_H09-i_bin_H07	I	1	1	1	1.8618290424346924	0	1
A_mart_F08-v_mutt_F04-A_mart_F05	v	2	1	0	1.470458745956421	2	1

#TotalErreurs#18TempsTotal#4min 37sec
