Mon Mar 01 23:19:49 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
v_mutt_F08	mutt	v	v	2.6479060649871826	0	0
A_bark_F04	bark	A	A	1.8880128860473633	0	0
A_lark_H07	lark	A	A	2.002753973007202	0	0
a_lack_H04	lack	a	a	1.333160161972046	0	0
i_bik_H05	bik	i	i	1.8016340732574463	0	0
i_lick_F08	lick	i	i	1.367314100265503	0	0
I_leak_F04	leak	I	I	1.587730884552002	0	0
I_beak_H07	beak	I	i	1.0973529815673828	1	0
i_bin_F04	bin	i	i	1.7103919982910156	0	0
I_cheap_H06	cheap	I	I	1.2927229404449463	0	0
A_bark_F09	bark	A	A	1.7071869373321533	0	0
v_buck_F09	buck	v	v	1.7377450466156006	0	0
a_pat_F04	pat	a	a	1.3378219604492188	0	0
v_mutt_H06	mutt	v	v	1.5305440425872803	0	0
i_bik_F07	bik	i	i	1.3019697666168213	0	0
i_bik_F08	bik	i	i	1.1906087398529053	0	0
a_cap_H05	cap	a	v	0.6891269683837891	1	0
a_cap_F05	cap	a	a	1.2574269771575928	0	0
v_mutt_H09	mutt	v	v	1.2198059558868408	0	0
I_cheap_H08	cheap	I	I	1.279465913772583	0	0
i_chip_F09	chip	i	i	3.5041909217834473	0	0
A_part_F07	part	A	v	0.9918537139892578	1	0
v_cup_F07	cup	v	v	1.4134140014648438	0	0
a_pat_F06	pat	a	a	1.2496018409729004	0	0
A_part_H07	part	A	A	1.9106988906860352	0	0
I_cheap_F05	cheap	I	I	2.3622891902923584	0	0
a_mat_F08	mat	a	A	1.1232259273529053	1	0
A_mart_F08	mart	A	A	2.5048491954803467	0	0
I_beak_H04	beak	I	I	1.5661969184875488	0	0
i_bik_F04	bik	i	i	1.3040099143981934	0	0

#TotalErreurs#4#TempsTotal#1min 51sec
