#Thu Mar 25 19:00:55 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_kip_F05-i_kip_F04	1	1	1	0.40642499923706055	0	0
i_chip_H07-i_cheap_H04	1	2	0	2.922008991241455	1	0
I_seek_F07-i_sick_F09	2	1	0	0.4375128746032715	1	0
i_bin_H06-I_bean_H04	2	1	0	14.719986915588379	1	0
i_kip_H06-I_keep_H05	2	2	1	1.2030749320983887	0	0
i_lick_F05-i_lick_F06	1	1	1	0.9845728874206543	0	0
I_beak_H05-i_bik_H06	2	2	1	2.062926769256592	0	0
i_lick_F06-I_leak_F08	2	2	1	2.2974343299865723	0	0
i_tick_H05-i_tick_H08	1	1	1	1.4688098430633545	0	0
I_deed_F08-I_deed_F05	1	1	1	1.7969551086425781	0	0
i_min_H06-I_mean_H08	2	2	1	3.703457832336426	0	0
I_bean_F09-i_bin_F06	2	2	1	1.5627169609069824	0	0
i_tick_F04-I_teak_F07	2	2	1	1.4844470024108887	0	0
i_kip_F07-i_kip_F08	1	1	1	1.2502200603485107	0	0
i_kip_F09-i_kip_F06	1	1	1	0.6562790870666504	0	0
i_bin_H09-i_bin_H06	1	1	1	0.7657780647277832	0	0
i_chip_F07-i_cheap_F04	1	2	0	5.2189860343933105	2	0
i_pick_F05-i_pick_F08	1	1	1	3.1249539852142334	0	0
I_teak_H04-I_teak_H08	1	1	1	2.48474383354187	0	0
I_seek_F04-I_seek_F05	1	1	1	0.8437387943267822	0	0
I_cheap_H06-I_chip_H07	1	2	0	9.500148057937622	1	0
I_peak_H06-I_peak_H08	1	1	1	1.2967312335968018	0	0
I_mean_H04-I_mean_H09	1	1	1	1.2815210819244385	0	0
i_lick_F07-i_lick_F08	1	1	1	1.1408722400665283	0	0
I_seek_H09-i_sick_H05	2	2	1	1.3442671298980713	0	0
i_min_F06-I_mean_F08	2	2	1	0.9375448226928711	0	0
I_seek_F08-I_seek_F07	1	1	1	0.8748800754547119	0	0
I_bean_H07-i_bin_H08	2	2	1	1.7657008171081543	0	0
I_leak_F06-I_leak_F05	1	1	1	1.1406731605529785	0	0
I_deed_F05-i_did_F04	2	2	1	0.18751215934753418	0	0

#TotalErreurs#6#TempsTotal#3min 26sec
