#Tue Feb 16 18:52:01 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_lick_H04-I_leak_H07	2	2	1	1.3908050060272217	0	0
i_tick_F07-i_tick_F06	1	2	0	1.437769889831543	1	0
I_leak_H06-I_leak_H05	1	1	1	0.9531710147857666	0	0
i_lick_H09-i_lick_H08	1	1	1	0.6719121932983398	0	0
I_mean_F09-i_min_F07	2	2	1	0.5783207416534424	0	0
I_mean_F08-I_mean_F06	1	1	1	0.2032918930053711	0	0
I_peak_F06-I_peak_F08	1	1	1	0.48485565185546875	0	0
I_leak_F04-I_leak_F06	1	1	1	0.7970869541168213	0	0
I_seek_F09-i_sick_F05	2	2	1	0.2658219337463379	0	0
I_teak_H07-i_tick_H04	2	1	0	0.1402890682220459	1	0
I_deed_H05-i_did_H04	2	2	1	2.672487258911133	0	0
i_kip_H07-i_kip_H08	1	1	1	2.000606060028076	0	0
i_min_H06-I_mean_H08	2	2	1	2.797009229660034	0	0
i_tick_H08-I_teak_H05	2	1	0	1.2972090244293213	1	0
i_pick_F09-i_pick_F07	1	1	1	2.703245162963867	0	0
i_did_F08-I_deed_F05	2	2	1	1.8441693782806396	0	0
I_seek_H09-i_sick_H05	2	2	1	1.8127450942993164	0	0
I_peak_H05-i_pick_H06	2	2	1	0.531282901763916	0	0
I_leak_F09-i_lick_F08	2	2	1	2.281517744064331	0	0
I_leak_H04-I_leak_H06	1	2	0	0.9219639301300049	1	0
i_min_H04-I_mean_H08	2	2	1	0.3593931198120117	0	0
i_kip_H04-I_keep_H07	2	1	0	1.3750600814819336	1	0
I_bean_H09-i_bin_H06	2	2	1	1.3600189685821533	0	0
i_bik_F09-i_bik_F08	1	2	0	0.9064559936523438	1	0
I_beak_F04-I_beak_F09	1	2	0	0.17188000679016113	1	0
i_min_H05-i_min_H09	1	1	1	0.5781610012054443	0	0
i_pick_F07-i_pick_F06	1	2	0	0.12500619888305664	1	0
I_keep_F08-I_keep_F06	1	1	1	0.28125691413879395	0	0
i_sick_F04-I_seek_F07	2	2	1	1.0003268718719482	0	0
i_chip_F06-I_chip_F05	2	2	1	6.516067981719971	0	0

#TotalErreurs#8#TempsTotal#3min 4sec
