#00#Thu May 06 18:26:17 2021#ListeOddity_2.txt
Vowel	Sound Files	Response	FirstResponse	Result	Response Time	NbErreurs	nbRepetitions
a_lack_F05-v_puck_F09-a_lack_F06	v	2	2	1	1.140726089477539	0	0
I_seek_H09-i_sick_H08-i_sick_H06	I	1	1	1	1.5157020092010498	0	0
A_cart_H09-A_cart_H04-v_cut_H09	v	3	2	0	2.390718936920166	3	0
v_bun_H09-v_bun_H04-A_barn_H08	A	3	3	1	0.15609288215637207	0	0
I_keep_F05-I_keep_F08-i_kip_F04	i	3	3	1	0.31231117248535156	0	0
v_tut_H08-a_tat_H09-a_tat_H04	v	1	1	1	1.2342839241027832	0	0
a_cat_F04-v_cut_F08-a_cat_F07	v	2	2	1	0.15609407424926758	0	0
v_bun_F07-A_barn_F09-A_barn_F05	v	1	2	0	0.3909718990325928	2	0
v_cud_H09-A_card_H08-v_cud_H05	A	2	2	1	1.7188279628753662	0	0
A_cart_H09-v_cut_H05-v_cut_H07	A	1	2	0	1.6561729907989502	3	0
I_peak_H04-i_pick_H07-i_pick_H05	I	1	2	0	0.23424100875854492	2	0
i_did_F08-i_did_F09-I_deed_F07	I	3	3	1	0.6250350475311279	0	0
a_tat_F06-v_tut_F07-v_tut_F05	a	1	2	0	0.390625	2	0
v_cut_F08-a_cat_F07-a_cat_F04	v	1	1	1	0.48424482345581055	0	0
I_peak_F04-i_pick_F09-I_peak_F06	i	2	3	0	0.3279268741607666	2	0
I_teak_F07-i_tick_F05-i_tick_F08	I	1	3	0	0.32814478874206543	3	0
v_bun_F09-v_bun_F04-A_barn_F08	A	3	1	0	0.6097869873046875	2	0
v_cut_H05-A_cart_H09-v_cut_H04	A	2	2	1	0.656015157699585	0	0
I_teak_F06-i_tick_F08-I_teak_F05	i	2	2	1	0.43737316131591797	0	0
a_tat_H04-a_tat_H05-v_tut_H08	v	3	3	1	0.14049983024597168	0	0
v_bun_F08-A_barn_F09-v_bun_F05	A	2	2	1	1.7188408374786377	0	0
v_puck_H08-A_park_H06-A_park_H04	v	1	2	0	0.42188096046447754	2	0
v_cut_H05-A_cart_H04-A_cart_H07	v	1	3	0	0.18752312660217285	2	0
i_kip_H07-I_keep_H04-i_kip_H06	I	2	1	0	0.2811009883880615	2	0
i_did_F04-I_deed_F09-I_deed_F07	i	1	1	1	1.4217798709869385	0	0
a_lack_H05-v_puck_H09-a_lack_H06	v	2	2	1	0.2341938018798828	0	0
v_cut_H04-v_cut_H05-A_cart_H09	A	3	2	0	0.3751528263092041	3	0
a_cad_F05-a_cad_F07-v_cud_F09	v	3	1	0	0.6717100143432617	2	0
I_keep_H05-I_keep_H08-i_kip_H04	i	3	2	0	3.3601291179656982	2	0
v_puck_F09-A_park_F05-v_puck_F07	A	2	3	0	0.31252193450927734	2	0

#TotalErreurs#34TempsTotal#4min 34sec
#00#Mon Feb 01 17:31:36 2021#ListeOddity_2.txt
Vowel	Sound Files	Response	FirstResponse	Result	Response Time	NbErreurs	nbRepetitions
I_keep_H06-i_kip_H07-I_keep_H05	i	2	2	1	0.7969050407409668	0	0
i_sick_H08-i_sick_H09-I_seek_H06	I	3	3	1	0.4062659740447998	0	0
a_tat_F04-a_tat_F05-v_tut_F08	v	3	3	1	0.14063525199890137	0	0
v_cut_H06-a_cat_H07-v_cut_H08	a	2	2	1	2.6405229568481445	0	0
