Fri Mar 19 17:58:15 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
v_cud_H06	cud	v	A	1.3430869770236313	1	0
a_pack_H05	pack	a	a	2.4801921129692346	0	0
v_puck_F06	puck	v	v	2.6867271137889475	0	0
i_pick_H06	pick	i	i	2.2420841107377782	0	0
i_tick_F08	tick	i	i	1.408567987382412	0	0
a_cat_F07	cat	a	a	1.6291159825632349	0	0
i_tick_F09	tick	i	i	3.0310469772666693	0	0
v_tut_H09	tut	v	v	2.9967509642010555	0	0
A_cart_F08	cart	A	A	1.903064894140698	0	0
i_did_F07	did	i	i	2.0362859322922304	0	0
I_peak_H09	peak	I	I	2.6222829624312	0	0
a_tat_F09	tat	a	v	1.158352016005665	1	0
a_cat_H06	cat	a	A	1.0172099018236622	1	0
A_cart_H06	cart	A	A	5.940868887817487	0	0
a_tat_H05	tat	a	a	3.1254909825511277	0	0
a_tat_H06	tat	a	a	1.841605932917446	0	0
A_tart_H05	tart	A	A	3.254934010328725	0	0
A_tart_F04	tart	A	A	1.7373468822333962	0	0
I_peak_F05	peak	I	I	1.5080570792779326	0	0
A_cart_F07	cart	A	A	1.8728470137575641	0	0
a_ban_H06	ban	a	v	1.0682399536017329	1	0
i_did_H06	did	i	i	1.649729882949032	0	0
A_park_F06	park	A	A	3.5688489238964394	0	1
I_teak_H08	teak	I	I	2.2550309761427343	0	0
A_barn_F07	barn	A	v	0.6437370420899242	1	1
A_tart_H07	tart	A	A	1.859047942678444	0	0
v_tut_F05	tut	v	v	3.2126328931190073	0	0
v_cut_H06	cut	v	v	1.2389739393256605	0	0
i_sick_H09	sick	i	i	1.3734759382205084	0	0
a_tat_H04	tat	a	a	1.928235909785144	0	0

#TotalErreurs#5#TempsTotal#2min 27sec
