#Tue Feb  9 10:41:00 2021#Liste2AFC_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_cheap_H04	cheap	I	4.690960180007096	0	0
i_min_F09	min	i	1.0538592239972786	0	0
i_tick_H09	tick	i	0.8678110130058485	0	0
I_keep_H04	keep	I	0.759035462004249	0	0
i_lick_F09	lick	i	0.9087700620002579	0	0
I_seek_H09	seek	I	0.7067536719987402	0	0
i_min_H08	min	i	1.4018422869994538	0	0
I_bean_H06	bean	I	1.1014426199981244	0	0
i_min_F07	min	i	0.9156590960046742	0	0
I_leak_H06	leak	I	0.8853493460046593	0	0
i_chip_F07	chip	i	0.8172596980002709	0	0
I_peak_H06	peak	I	0.7842202829997404	0	0
I_peak_H07	peak	I	1.414716897001199	0	0
i_chip_H05	chip	i	0.873587617999874	0	0
i_bin_H09	bin	i	1.1872718219965464	0	0
i_chip_H06	chip	i	0.8824603630055208	0	0
i_min_H05	min	i	1.246784472001309	0	0
i_bin_H06	bin	i	0.8504295390011976	0	0
I_teak_F05	teak	I	0.8810193669996806	0	0
I_bean_F06	bean	I	0.9930157399940072	0	0
i_sick_H05	sick	i	0.9040202610049164	0	0
i_did_F06	did	i	0.9619170469959499	0	0
i_pick_H09	pick	i	1.0469712350022746	0	0
i_sick_H08	sick	i	1.1104863979999209	0	0
i_pick_H07	pick	i	1.2608725169993704	0	0
i_did_F07	did	i	0.88387565100129	0	0
I_deed_H08	deed	I	0.8033007740014	0	0
i_min_F04	min	i	0.9185020889999578	0	0
I_leak_F05	leak	I	1.1180847799987532	0	0
I_seek_F09	seek	I	0.8214077009979519	0	0

#TotalErreurs#0TempsTotal#1min 20sec
