Fri Feb 12 12:16:08 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
a_back_H04	back	a	a	2.2033497729999993	0	1
v_luck_F09	luck	v	v	5.736132665999989	0	0
a_lack_F09	lack	a	a	2.8325981890000094	0	0
v_putt_F06	putt	v	v	2.1843910300000005	0	0
i_chip_F06	chip	i	i	3.9716059749999886	0	0
I_leak_H04	leak	I	I	2.5279038790000072	0	0
a_mat_F04	mat	a	a	1.9093324789999997	0	0
v_putt_H04	putt	v	v	1.6309133519999932	0	0
I_cheap_F09	cheap	I	I	3.0626228840000067	0	0
A_bark_F08	bark	A	A	1.759678378999979	0	0
A_carp_F06	carp	A	A	1.7626543739999931	0	0
a_back_F07	back	a	a	1.6614679730000148	0	0
a_cap_H07	cap	a	a	1.861701595999989	0	0
A_part_H07	part	A	A	1.1779789400000027	0	0
A_mart_H08	mart	A	A	1.3406421180000052	0	0
i_bik_H05	bik	i	i	36.89755006799999	0	0
a_mat_H09	mat	a	a	1.4127357319999874	0	0
v_buck_F05	buck	v	v	1.0893155690000071	0	0
A_mart_H07	mart	A	A	1.367514357999994	0	0
i_chip_F07	chip	i	i	1.9625852179999868	0	0
a_mat_H07	mat	a	a	1.0418252300000006	0	0
A_mart_H09	mart	A	A	1.5660255589999963	0	0
a_pat_F07	pat	a	a	2.39595227800001	0	0
i_lick_F04	lick	i	i	1.0336911330000191	0	0
i_chip_H07	chip	i	i	0.7625316159999898	0	0
a_lack_H07	lack	a	a	1.3249932740000077	0	0
i_lick_F08	lick	i	i	5.738936353000014	0	0
A_part_H04	part	A	A	1.2493790919999697	0	0
v_buck_H06	buck	v	v	2.93277961900003	0	0
I_beak_H06	beak	I	I	1.9460047989999794	0	0

#TotalErreurs#0#TempsTotal#2min 37sec
