Tue Apr  6 14:43:09 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
v_putt_H09	putt	v	v	3.473492105999867	0	0
v_putt_H07	putt	v	v	5.572916191999866	0	0
v_buck_H09	buck	v	v	1.6567201990001195	0	0
A_bark_F05	bark	A	a	0.08657778100041469	1	0
a_mat_H08	mat	a	a	1.2191987510000217	0	0
v_luck_H09	luck	v	v	0.9918952380003248	0	0
I_leak_H05	leak	I	I	1.2320117070003107	0	0
I_leak_F09	leak	I	I	1.0087879080001585	0	0
a_back_F06	back	a	a	1.7574241919996894	0	0
A_bark_H09	bark	A	A	1.0169861300000775	0	0
a_mat_F07	mat	a	a	0.9722725709998485	0	0
v_mutt_F09	mutt	v	v	0.9939585719998831	0	0
v_mutt_F07	mutt	v	v	0.6659499639999922	0	0
a_back_H09	back	a	a	1.0460075559999495	0	0
v_buck_H07	buck	v	v	0.9414217519997692	0	0
a_pat_F09	pat	a	a	0.85310745400011	0	0
A_part_F08	part	A	A	1.0268257859997902	0	0
a_lack_H05	lack	a	v	0.15716942499966535	1	0
I_leak_H06	leak	I	I	1.8651484809997783	0	0
v_cup_H07	cup	v	v	1.3818367240000953	0	0
v_putt_F06	putt	v	v	1.404462810000041	0	0
a_cap_H04	cap	a	a	0.9886968979999438	0	0
v_mutt_F08	mutt	v	v	2.415061741000045	0	0
I_bean_F07	bean	I	I	1.1087271249998594	0	0
v_putt_F09	putt	v	v	0.9859755499996936	0	0
a_mat_H09	mat	a	a	0.9197616890000972	0	0
i_chip_H06	chip	i	I	0.09751381199976095	1	0
v_putt_H04	putt	v	v	1.8935114340001746	0	0
A_mart_F06	mart	A	A	1.229198641000039	0	0
I_bean_H09	bean	I	I	1.2554206959998737	0	0

#TotalErreurs#3#TempsTotal#1min 35sec
