Wed Feb  3 13:55:20 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
I_bean_F06	bean	I	I	7.830880392997642	0	0
A_part_H06	part	A	A	3.0488333579996834	0	1
v_putt_H05	putt	v	v	0.897897027003637	0	1
A_lark_H07	lark	A	a	1.6322994770016521	1	1
i_bin_F04	bin	i	i	5.528634880996833	0	0
A_lark_F08	lark	A	A	1.6890347590015153	0	0
v_cup_H06	cup	v	v	1.5845806549987174	0	0
A_carp_H09	carp	A	a	3.5895492780036875	1	0
i_bik_F09	bik	i	i	3.0586833740017028	0	0
I_leak_H07	leak	I	I	3.0316594320029253	0	0
A_part_H04	part	A	A	2.432756012000027	0	0
a_cap_F07	cap	a	a	1.8785003990051337	0	0
a_back_F06	back	a	a	3.127806120995956	0	0
i_chip_F08	chip	i	i	1.3159942569982377	0	0
i_min_H06	min	i	i	1.2640831300013815	0	0
a_back_F07	back	a	a	1.7851463629995123	0	0
v_mutt_F06	mutt	v	v	4.5637031429942	0	0
I_leak_H05	leak	I	I	1.503982159003499	0	0
i_lick_F06	lick	i	i	1.7208456460066373	0	0
a_mat_H05	mat	a	a	1.9618361860048026	0	0
A_carp_F05	carp	A	A	1.6036974099988583	0	0
A_carp_F08	carp	A	a	1.208608994995302	1	0
I_cheap_H08	cheap	I	I	3.0090181289997417	0	0
a_mat_F08	mat	a	a	2.375147669998114	0	0
i_bin_H08	bin	i	i	2.9941145480042906	0	0
i_min_F06	min	i	i	1.1209781689976808	0	0
A_bark_H07	bark	A	A	1.6605743000036455	0	0
i_chip_H05	chip	i	i	1.5202405939999153	0	0
a_back_F05	back	a	a	1.7157021800012444	0	0
a_cap_H06	cap	a	a	1.2811183590019937	0	0

#TotalErreurs#3#TempsTotal#2min 52sec
