#Tue Feb  9 10:32:56 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_cud_H07-v_cud_H08	1	1	1	2.7271241460039164	0	0
v_luck_H04-A_lark_H05	2	2	1	1.5331353590008803	0	0
A_cart_F08-A_cart_F05	1	1	1	0.9289425230017514	0	0
v_mutt_F07-v_mutt_F08	1	1	1	0.968967145003262	0	0
v_bun_H06-A_barn_H07	2	2	1	1.1198788920009974	0	0
v_putt_H06-A_part_H07	2	2	1	2.8732636339991586	0	0
v_cut_H05-v_cut_H07	1	1	1	0.8314921970013529	0	0
A_lark_F08-A_lark_F09	1	1	1	0.714967769003124	0	0
A_cart_F06-A_cart_F09	1	1	1	2.251214711002831	0	0
A_card_H04-A_card_H08	1	1	1	0.5311940760002472	0	0
v_cup_H05-v_cup_H08	1	1	1	0.8052371090016095	0	0
A_lark_F09-v_luck_F06	2	2	1	1.3651600029988913	0	0
A_carp_H09-v_cup_H08	2	1	0	0.04738620300486218	1	0
v_cut_H07-v_cut_H04	1	1	1	1.2332718670004397	0	0
v_luck_H07-v_luck_H09	1	1	1	0.8582734800002072	0	0
A_tart_F05-v_tut_F04	2	2	1	1.6566070760018192	0	0
v_cut_F07-v_cut_F04	1	1	1	0.22219554200273706	0	0
v_tut_F06-A_tart_F09	2	2	1	1.2378876200018567	0	0
v_bun_H04-A_barn_H09	2	2	1	1.2387083139983588	0	0
v_puck_F09-v_puck_F08	1	1	1	2.288957552998909	0	0
A_carp_H04-A_carp_H05	1	1	1	1.2126119870008552	0	0
A_carp_F07-v_cup_F06	2	2	1	2.169821800001955	0	0
v_mutt_H07-v_mutt_H08	1	1	1	2.5611210809947806	0	0
A_bark_H07-v_buck_H04	2	2	1	1.7040689630011912	0	0
v_tut_H05-v_tut_H08	1	1	1	3.537496662000194	0	0
A_part_H04-A_part_H09	1	1	1	2.597672056996089	0	0
A_bark_H04-A_bark_H09	1	2	0	0.04790303199843038	1	0
v_mutt_F09-v_mutt_F06	1	1	1	0.8424012799951015	0	0
v_bun_F04-A_barn_F09	2	2	1	1.1165141070014215	0	0
A_bark_H05-v_buck_H08	2	1	0	0.04773003299487755	1	0

#TotalErreurs#3#TempsTotal#2min 27sec
