#Mon Feb  1 15:58:16 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_tick_H04-I_teak_H07	2	2	1	1.1501091259997338	0	0
I_seek_F07-i_sick_F09	2	2	1	1.4187422930044704	0	0
i_tick_H05-i_tick_H08	1	1	1	1.4413856609971845	0	0
i_min_H05-i_min_H09	1	1	1	0.5177811890025623	0	0
i_lick_H04-I_leak_H07	2	2	1	0.3381903279951075	0	0
i_sick_F08-I_seek_F09	2	2	1	0.31161407999752555	0	0
I_deed_H07-i_did_H05	2	1	0	0.048377088001871016	1	0
I_beak_H08-I_beak_H09	1	1	1	0.40590773999429075	0	0
I_peak_F06-I_peak_F08	1	1	1	2.365007816995785	0	0
I_leak_H05-i_lick_H09	2	1	0	0.45404437099932693	1	0
i_kip_F07-i_kip_F08	1	1	1	1.504892236996966	0	0
I_leak_H06-I_leak_H05	1	2	0	0.048021022994362283	1	0
i_lick_H07-i_lick_H08	1	1	1	0.3301311590039404	0	0
I_teak_F09-i_tick_F05	2	2	1	2.062386527999479	0	0
I_seek_F09-i_sick_F05	2	2	1	0.9364243359959801	0	0
I_mean_F06-I_mean_F04	1	1	1	0.32104946699837456	0	0
I_cheap_F05-i_cheap_F07	2	1	0	0.04467296399525367	1	0
i_bin_F07-i_bin_F09	1	1	1	0.6185340329975588	0	0
I_leak_F07-i_lick_F04	2	2	1	0.29824639000435127	0	0
I_deed_F08-I_deed_F05	1	2	0	0.241435226998874	1	1
I_mean_F09-i_min_F07	2	1	0	0.04731715100206202	1	0
I_bean_F05-i_bin_F06	2	2	1	0.04745304199605016	0	1
i_bik_H09-i_bik_H08	1	1	1	0.047668874001828954	0	1
i_tick_F05-i_tick_F08	1	2	0	0.047831247000431176	1	1
i_did_H07-i_did_H04	1	1	1	0.6563008359953528	0	1
i_did_H09-i_did_H04	1	2	0	0.04828567499498604	1	0
i_lick_F08-I_leak_F07	2	2	1	0.49834047699550865	0	0
I_teak_H07-i_tick_H04	2	1	0	0.04695987599552609	1	0
i_kip_H08-I_keep_H04	2	2	1	1.9539451480013668	0	0
I_seek_H05-i_sick_H07	2	2	1	1.0697674280017964	0	0

#TotalErreurs#9#TempsTotal#2min 41sec
