#Wed Mar  3 10:41:59 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_puck_F08	puck	v	0.8674672639999699	0	1
v_mutt_H08	mutt	v	2.270719632999999	0	0
v_cut_H06	cut	v	1.406534238000063	0	0
a_cad_H09	cad	a	1.071743889000004	0	0
v_puck_H08	puck	v	1.6200652969999965	0	0
v_putt_H06	putt	v	1.0530860289999282	0	0
a_cad_H04	cad	a	1.0877600490000532	0	0
v_putt_F05	putt	v	1.0879640699999982	0	0
a_ban_H04	ban	a	1.4561115540000173	0	0
v_putt_F04	putt	v	0.9821974989999944	0	0
a_ban_F04	ban	a	1.078893887999925	0	0
v_buck_H05	buck	v	1.708763627000053	0	0
a_back_H06	back	a	0.6436842960000604	1	0
a_cat_H06	cat	a	1.0893201850000196	0	0
v_luck_F04	luck	v	2.7060642430000144	0	0
a_tat_H08	tat	a	0.03297668100003648	1	0
a_tat_H04	tat	a	1.1318961479998961	0	0
a_mat_H05	mat	a	1.1799421910000092	0	0
a_mat_F08	mat	a	0.9897447889999285	0	0
a_back_F08	back	a	1.2023024139999734	0	0
v_cup_F05	cup	v	1.1283580619999611	0	0
a_tat_F05	tat	a	1.054603209999982	0	0
v_cup_H08	cup	v	0.9825513239999282	0	0
a_back_F06	back	a	0.9980542910000167	0	0
v_mutt_F07	mutt	v	1.1461108600000216	0	0
a_cat_H04	cat	a	1.0061971080000376	0	0
v_puck_H07	puck	v	0.5435454719998916	1	0
v_bun_F05	bun	v	2.0370462719999978	0	0
a_back_F04	back	a	1.2989925769999218	0	0
a_cad_H08	cad	a	1.5619519769999215	0	0

#TotalErreurs#3TempsTotal#1min 34sec
