#Thu Feb 25 15:13:10 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_puck_F07	puck	v	1.411467514000151	0	0
v_putt_F07	putt	v	2.104382901000008	0	0
v_mutt_F06	mutt	v	1.146433320999904	0	0
A_cart_H07	cart	A	1.2122298669999054	0	0
A_lark_F07	lark	A	1.4302866509999603	0	0
v_buck_F08	buck	v	1.5287247419998948	0	0
A_barn_F06	barn	A	1.033437627000012	0	0
A_barn_F04	barn	A	1.111552126000106	0	0
v_cut_H04	cut	v	1.008869132999962	0	0
v_cup_H05	cup	v	1.0396307039998192	0	0
v_putt_H09	putt	v	0.966247347000035	0	0
A_park_H07	park	A	1.0894491710000693	0	0
A_part_F05	part	A	1.3428123470000628	0	0
v_puck_F05	puck	v	0.9083426700001382	0	0
A_cart_H08	cart	A	0.7046948170000178	1	0
A_card_F08	card	A	1.0999426230000608	0	0
A_park_H04	park	A	0.5253411349999624	1	0
v_buck_H06	buck	v	1.4759502730000804	0	0
v_buck_H08	buck	v	1.365283078999937	0	0
A_card_H04	card	A	1.6850416580000456	0	0
A_bark_H06	bark	A	1.1375938389999192	0	0
A_carp_F09	carp	A	1.8185411399999794	0	0
v_luck_F04	luck	v	1.0874936469999739	0	0
A_park_F04	park	A	1.3745540739998887	0	0
v_cut_H07	cut	v	1.039041442000098	0	0
v_putt_H05	putt	v	1.0315598800000316	0	0
v_putt_H04	putt	v	1.188987725000061	0	0
A_bark_F07	bark	A	1.5623828919999596	0	0
v_mutt_H08	mutt	v	1.0324154370000542	0	0
A_card_F05	card	A	2.002869749000183	0	0

#TotalErreurs#2TempsTotal#1min 30sec
