Tue Feb 23 11:41:36 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
A_barn_H04	barn	A	A	2.3531635649999316	0	1
I_peak_H07	peak	I	I	2.1404468849998466	0	0
I_teak_H07	teak	I	I	1.2013906249999309	0	0
i_did_F09	did	i	i	1.2161721770000895	0	0
A_tart_H05	tart	A	v	0.825558645000001	1	0
v_cut_F09	cut	v	v	1.3848806979999608	0	0
a_ban_F05	ban	a	A	0.8306430150000779	1	0
I_seek_F07	seek	I	I	1.9460915030001615	0	0
I_keep_F06	keep	I	I	1.6918969559999368	0	0
a_ban_H04	ban	a	A	0.43338720199994896	1	0
v_cud_H09	cud	v	v	1.4775453610000113	0	0
v_puck_F06	puck	v	v	1.3677288950000275	0	0
I_keep_F05	keep	I	I	3.4098891219998677	0	0
A_tart_F08	tart	A	A	2.0221287790000133	0	0
i_sick_F05	sick	i	i	2.158135151999886	0	0
a_ban_F06	ban	a	a	2.5551785850000215	0	0
i_did_H06	did	i	I	0.46465631199998825	1	0
A_park_H06	park	A	A	1.802760747000093	0	0
v_bun_H08	bun	v	v	1.8498395139999957	0	0
i_sick_H09	sick	i	i	2.3007391539999844	0	0
I_deed_H09	deed	I	I	1.80662026899995	0	0
i_did_H09	did	i	i	1.0701998889999231	0	0
i_did_F06	did	i	i	0.9575933680000617	0	0
v_bun_H06	bun	v	v	1.4894249590001891	0	0
I_keep_H05	keep	I	I	0.8758375129998512	0	1
A_card_F09	card	A	A	1.5463226020001457	0	0
v_bun_F08	bun	v	v	1.2562217619999956	0	0
A_barn_H08	barn	A	A	1.7047665520001374	0	0
a_tat_F08	tat	a	v	0.6055155980000109	1	0
I_peak_F06	peak	I	I	1.7161382080000749	0	0

#TotalErreurs#5#TempsTotal#1min 53sec
