Wed Feb  3 13:44:39 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
a_ban_F05	ban	a	A	0.5869190359999266	2	4
a_cat_H09	cat	a	v	0.6331685279999419	2	1
A_tart_F07	tart	A	v	0.3432229019999795	1	2
A_barn_H09	barn	A	a	0.15786470600005487	2	3
i_sick_H04	sick	i	A	0.7473373139999921	2	3
v_bun_H07	bun	v	a	0.6719636050000872	1	3
I_seek_F06	seek	I	i	0.9018818790000296	1	1
v_puck_F06	puck	v	a	0.7639788569999837	1	0
A_tart_H06	tart	A	a	0.8380409569999756	2	1
i_did_F08	did	i	I	0.2464325959999769	1	1
a_pack_H04	pack	a	v	0.8205022700001336	1	1
I_peak_F09	peak	I	i	0.6052361640001891	1	0
v_cut_F06	cut	v	a	0.6850354600001083	1	1
a_tat_F04	tat	a	A	0.0444640260000142	2	1
A_park_F04	park	A	a	0.14536761699991985	2	1
v_tut_H08	tut	v	A	0.22049358999993274	1	0
I_keep_F05	keep	I	i	0.9958964009999818	1	0
A_cart_H07	cart	A	A	1.9533927959998891	0	0
I_deed_H06	deed	I	I	2.2613448580000295	0	0
i_did_H05	did	i	i	1.332723218999945	0	0
I_teak_H05	teak	I	i	0.585765844999969	1	0
i_pick_F04	pick	i	i	0.717946412000174	0	1
v_bun_F06	bun	v	a	0.014801439999928334	2	2
A_cart_H05	cart	A	v	0.16168042499998592	3	0
v_puck_H05	puck	v	v	0.6837222799999836	0	3
A_card_H09	card	A	A	1.0421334589998423	0	1
v_tut_H05	tut	v	v	0.8754922170001009	0	2
I_seek_F07	seek	I	I	0.8059894630000599	0	2
v_puck_F07	puck	v	v	1.0660698189999493	0	1
v_cut_F09	cut	v	a	0.277361965999944	1	0

#TotalErreurs#31#TempsTotal#3min 28sec
