#Tue Apr 20 15:43:12 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_mean_H08-I_mean_H06	1	2	0	0.566083436999179	1	0
i_bin_F04-I_bean_F05	2	2	1	0.45262273299886147	0	0
i_pick_H09-i_pick_H07	1	1	1	0.6799808879986813	0	0
I_deed_H09-i_did_H07	2	2	1	0.38106230799894547	0	0
i_kip_F09-i_kip_F06	1	1	1	0.7393028209990007	0	0
i_bik_F07-i_bik_F09	1	1	1	0.37535240199940745	0	0
i_tick_F09-i_tick_F07	1	1	1	0.9411608519985748	0	0
I_deed_F05-i_did_F04	2	2	1	0.5345866669995303	0	0
i_sick_H04-I_seek_H07	2	2	1	0.3137471070003812	0	0
i_sick_F09-i_sick_F06	1	1	1	0.3670081489981385	0	0
i_chip_F07-i_cheap_F04	1	2	0	0.026504227997065755	1	0
I_cheap_F05-i_cheap_F07	2	1	0	0.025928729999577627	1	0
I_seek_F05-i_sick_F07	2	2	1	0.9734355319997121	0	0
I_seek_F08-I_seek_F07	1	2	0	0.026652414999261964	1	0
I_seek_F04-I_seek_F05	1	1	1	1.1257310500004678	0	0
I_leak_H05-i_lick_H09	2	1	0	0.026286036998499185	1	0
i_bin_F06-I_bean_F04	2	2	1	0.8614003970033082	0	0
i_bik_H05-i_bik_H06	1	1	1	1.0879596689992468	0	0
i_kip_H05-i_kip_H04	1	1	1	0.6957870100013679	0	0
i_pick_H08-I_peak_H06	2	2	1	1.0284203150004032	0	0
I_seek_F09-i_sick_F05	2	2	1	0.7357213270006469	0	0
I_deed_H07-i_did_H05	2	2	1	0.6147470939977211	0	0
I_beak_F05-i_bik_F06	2	2	1	1.0944731109993882	0	0
I_beak_H09-i_bik_H04	2	2	1	1.2031043149981997	0	0
i_lick_H05-i_lick_H06	1	1	1	1.0298786269995617	0	0
i_min_H06-I_mean_H08	2	2	1	0.8978928920005274	0	0
I_bean_F08-I_bean_F09	1	1	1	0.7431238350000058	0	0
i_sick_H08-I_seek_H09	2	2	1	0.6517098399999668	0	0
i_tick_H09-i_tick_H07	1	1	1	0.6250780360023782	0	0
I_peak_F04-I_peak_F07	1	1	1	1.2554122720030136	0	0

#TotalErreurs#5#TempsTotal#2min 6sec
