#Thu Mar 18 20:02:17 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_cup_F06-a_cap_F05	2	2	1	0.33748292922973633	0	1
v_cut_H05-v_cut_H07	1	2	0	0.5406391620635986	1	0
v_puck_F08-a_pack_F07	2	2	1	0.8883538246154785	0	0
a_ban_F07-v_bun_F09	2	1	0	0.3011188507080078	1	0
a_ban_H05-v_bun_H06	2	2	1	0.3290388584136963	0	0
v_cut_H08-a_cat_H05	2	2	1	0.09135007858276367	0	0
a_mat_F08-a_mat_F07	1	1	1	0.608518123626709	0	0
a_pat_F05-v_putt_F06	2	2	1	0.3325057029724121	0	0
v_puck_F05-v_puck_F06	1	1	1	0.9404029846191406	0	0
v_bun_F08-a_ban_F06	2	2	1	0.4771757125854492	0	0
v_putt_H08-a_pat_H04	2	2	1	0.23501086235046387	0	0
v_mutt_F07-v_mutt_F08	1	1	1	1.0441820621490479	0	0
v_cup_F04-a_cap_F05	2	2	1	0.291978120803833	0	0
a_back_F07-v_buck_F04	2	2	1	0.7096939086914062	0	0
v_cud_H07-v_cud_H08	1	1	1	1.198617935180664	0	0
a_cad_F09-v_cud_F06	2	2	1	0.25130176544189453	0	0
a_cad_H08-a_cad_H06	1	1	1	1.6584997177124023	0	0
v_tut_F05-v_tut_F08	1	1	1	0.34232401847839355	0	0
v_puck_F04-a_pack_F07	2	1	0	2.511630058288574	1	0
v_tut_F06-a_tat_F09	2	2	1	2.478394031524658	0	0
a_cap_H06-a_cap_H07	1	1	1	0.8377389907836914	0	0
v_cud_H04-a_cad_H07	2	2	1	1.9434921741485596	0	0
a_pack_H04-a_pack_H06	1	1	1	0.8752460479736328	0	0
v_tut_F07-v_tut_F06	1	1	1	1.6615679264068604	0	0
a_cat_F09-v_cut_F07	2	2	1	0.843421220779419	0	0
a_back_F08-a_back_F06	1	2	0	0.2752251625061035	1	1
v_luck_H08-a_lack_H09	2	2	1	1.0273621082305908	0	0
v_cud_H06-a_cad_H05	2	2	1	0.24622607231140137	0	0
a_ban_F05-v_bun_F06	2	2	1	0.21500802040100098	0	0
v_cup_F09-v_cup_F06	1	1	1	0.5553529262542725	0	0

#TotalErreurs#4#TempsTotal#2min 15sec
