#Tue Apr 06 17:04:08 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_cheap_F04-I_chip_F05	1	2	0	0.6677619934780523	1	1
i_bik_F07-i_bik_F09	1	1	1	0.5558291032211855	0	1
i_lick_H07-i_lick_H08	1	2	0	1.100637891329825	1	1
I_deed_F04-I_deed_F05	1	2	0	0.38522502302657813	1	0
i_pick_F09-i_pick_F07	1	1	1	0.2861040838761255	0	2
I_beak_F09-i_bik_F04	2	2	1	0.9560340608004481	0	2
i_did_H08-I_deed_H05	2	2	1	1.1271651124116033	0	1
i_kip_F08-I_keep_F04	2	2	1	0.7921130318427458	0	0
I_beak_H04-I_beak_H09	1	2	0	0.046872111735865474	1	1
I_cheap_F05-i_cheap_F07	2	1	0	0.3297670017927885	1	1
I_teak_H09-i_tick_H05	2	2	1	0.07402904494665563	0	1
I_teak_F07-i_tick_F04	2	2	1	0.3920608937041834	0	1
I_peak_H09-i_pick_H05	2	2	1	0.371961890370585	0	2
I_cheap_F06-I_chip_F07	1	1	1	0.7740139903035015	0	0
i_lick_F07-i_lick_F08	1	2	0	1.2194619028596207	1	1
I_bean_H07-i_bin_H08	2	2	1	0.5271229094360024	0	0
I_peak_F08-I_peak_F05	1	1	1	0.5727439093170688	0	0
I_mean_H07-i_min_H04	2	2	1	0.852193092694506	0	1
I_cheap_H04-I_chip_H05	1	1	1	0.3055979235796258	0	2
i_bin_H09-i_bin_H06	1	1	1	0.690760905155912	0	2
i_pick_F06-I_peak_F07	2	2	1	0.6998239749809727	0	1
I_deed_H07-i_did_H05	2	2	1	0.19761797692626715	0	1
I_bean_F07-i_bin_F08	2	2	1	0.28929992648772895	0	1
i_did_H07-i_did_H04	1	2	0	0.8888489810051397	1	1
i_chip_H08-I_chip_H06	2	1	0	0.8756550085963681	1	1
I_peak_F05-i_pick_F06	2	2	1	0.06249011913314462	0	1
I_bean_H05-i_bin_H06	2	2	1	0.6596260068472475	0	2
i_sick_F08-I_seek_F09	2	2	1	0.6340189441107214	0	0
I_leak_F04-I_leak_F06	1	2	0	0.3045438843546435	1	3
i_bik_H05-i_bik_H06	1	1	1	0.4056608967948705	0	1

#TotalErreurs#9#TempsTotal#4min 22sec
