#Sun Feb 21 22:50:05 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_putt_H05	putt	v	2.2427289485931396	0	0
A_lark_F07	lark	A	2.5116569995880127	0	0
v_puck_F08	puck	v	0.5901219844818115	1	0
A_card_F09	card	A	1.8831608295440674	0	0
A_barn_H06	barn	A	1.1232280731201172	0	0
A_cart_F09	cart	A	1.336629867553711	0	0
v_buck_F04	buck	v	4.40325403213501	0	0
v_buck_F08	buck	v	1.8263506889343262	0	0
v_bun_F05	bun	v	1.1585500240325928	0	0
v_cud_F06	cud	v	1.4772989749908447	0	0
A_barn_H07	barn	A	1.0533497333526611	0	0
v_tut_F04	tut	v	3.315048933029175	0	0
v_tut_F06	tut	v	3.1474831104278564	0	0
A_card_F08	card	A	2.093569040298462	0	0
v_luck_F05	luck	v	2.0805461406707764	0	0
v_tut_F07	tut	v	3.032526969909668	0	0
v_cup_F05	cup	v	3.7196218967437744	0	0
A_part_H09	part	A	1.8666598796844482	0	0
v_bun_F06	bun	v	0.9830138683319092	0	0
A_cart_H09	cart	A	2.0589818954467773	0	0
A_mart_H04	mart	A	2.4957308769226074	0	0
A_part_F06	part	A	2.1661391258239746	0	0
v_cud_F08	cud	v	1.20992112159729	0	0
v_mutt_F05	mutt	v	1.436905860900879	1	0
v_cup_F07	cup	v	1.360901117324829	0	0
v_cud_H09	cud	v	4.190809965133667	0	0
A_carp_H04	carp	A	1.3553688526153564	1	0
v_cud_H06	cud	v	1.3075788021087646	0	0
A_card_H07	card	A	1.1680829524993896	0	0
A_lark_F06	lark	A	2.065201997756958	0	0

#TotalErreurs#3TempsTotal#2min 2sec
