Sun Mar 28 22:53:42 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
i_tick_H04	tick	i	i	1.8689699172973633	0	0
i_pick_F07	pick	i	i	1.3843591213226318	0	0
a_ban_F08	ban	a	a	1.6800742149353027	0	0
a_pack_H09	pack	a	a	2.0147998332977295	0	0
v_bun_F09	bun	v	v	1.4028100967407227	0	0
i_kip_F06	kip	i	i	1.5031931400299072	0	0
v_puck_F08	puck	v	v	1.0753710269927979	0	1
a_cat_F06	cat	a	a	1.3498220443725586	0	0
a_cat_F05	cat	a	a	1.1875641345977783	0	0
I_teak_F09	teak	I	I	1.5451889038085938	0	0
I_seek_H09	seek	I	i	0.9875659942626953	1	0
a_tat_F06	tat	a	v	0.911038875579834	1	0
i_pick_H08	pick	i	i	1.3965890407562256	0	0
i_kip_H05	kip	i	i	1.205096960067749	0	0
a_cat_H07	cat	a	a	2.490363121032715	0	0
a_cad_F06	cad	a	a	1.3709430694580078	0	0
A_card_H09	card	A	A	1.572646141052246	0	0
a_cat_F08	cat	a	a	1.872663974761963	0	0
v_bun_H07	bun	v	v	1.3849668502807617	0	0
i_sick_H07	sick	i	I	0.6500139236450195	1	0
I_peak_H08	peak	I	i	0.21358823776245117	1	0
i_did_H07	did	i	I	1.3011019229888916	1	0
A_cart_H09	cart	A	v	0.3075881004333496	1	0
A_barn_H06	barn	A	A	1.5410890579223633	0	0
v_cut_F05	cut	v	v	1.1360411643981934	0	0
a_cat_H08	cat	a	a	1.3372950553894043	0	0
a_cad_F04	cad	a	A	1.2255799770355225	1	0
i_sick_F08	sick	i	i	2.506314992904663	0	0
I_seek_H07	seek	I	I	1.3586161136627197	0	0
i_pick_H07	pick	i	i	1.2822949886322021	0	0

#TotalErreurs#7#TempsTotal#1min 54sec
