#Mon Feb 15 19:44:35 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_tut_H08-A_tart_H05	2	2	1	0.7265501022338867	0	0
v_putt_H09-v_putt_H08	1	1	1	0.7552618980407715	0	0
A_bark_H05-v_buck_H08	2	2	1	0.5230071544647217	0	0
A_bark_H07-v_buck_H04	2	2	1	0.3824300765991211	0	0
A_part_F04-A_part_F09	1	2	0	0.19802594184875488	1	0
v_cup_H06-A_carp_H05	2	2	1	0.9928240776062012	0	0
A_carp_H08-A_carp_H07	1	1	1	0.5890958309173584	0	0
A_cart_H06-A_cart_H09	1	2	0	0.2231440544128418	1	0
A_part_H05-v_putt_H06	2	1	0	0.26403021812438965	1	1
A_park_F04-A_park_F06	1	1	1	1.5451951026916504	0	0
v_puck_H06-A_park_H08	2	2	1	0.944267988204956	0	0
A_part_F09-v_putt_F04	2	2	1	1.3048617839813232	0	0
v_buck_H04-A_bark_H08	2	2	1	0.657177209854126	0	0
v_tut_F04-A_tart_F07	2	1	0	0.18625569343566895	1	0
v_cut_F06-A_cart_F09	2	2	1	0.6082663536071777	0	0
v_mutt_F08-A_mart_F09	2	2	1	1.2213051319122314	0	1
v_puck_F07-v_puck_F08	1	1	1	1.2998297214508057	0	0
v_puck_H07-v_puck_H08	1	1	1	0.8370981216430664	0	0
A_card_F09-v_cud_F06	2	2	1	0.3494257926940918	0	0
A_mart_H06-A_mart_H05	1	1	1	1.10691499710083	0	0
v_tut_H05-v_tut_H08	1	1	1	1.5788838863372803	0	0
v_bun_F08-A_barn_F06	2	2	1	0.3477940559387207	0	0
A_cart_H05-v_cut_H04	2	2	1	1.6654012203216553	0	0
v_cut_F05-v_cut_F07	1	1	1	1.0894391536712646	0	0
A_lark_F08-A_lark_F09	1	2	0	0.41486406326293945	1	0
A_mart_F08-A_mart_F07	1	2	0	0.06852078437805176	1	0
A_card_F06-A_card_F07	1	1	1	0.39746785163879395	0	0
v_mutt_H09-v_mutt_H06	1	1	1	0.11138010025024414	0	0
A_mart_H05-v_mutt_H07	2	1	0	0.1562502384185791	1	0
A_carp_F04-A_carp_F05	1	1	1	0.570483922958374	0	0

#TotalErreurs#7#TempsTotal#2min 31sec
