#Mon Feb 22 18:05:46 2021#Liste2AFC_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_bun_F07	bun	v	8.818355798721313	0	0
v_cut_F09	cut	v	5.246243000030518	0	0
A_park_H08	park	A	1.2500920295715332	0	0
v_cup_F05	cup	v	1.283308982849121	0	0
v_buck_F08	buck	v	2.0414669513702393	0	0
A_part_H04	part	A	4.451800107955933	0	0
v_buck_H08	buck	v	4.216238975524902	0	0
v_tut_F09	tut	v	2.500502109527588	0	0
A_mart_F09	mart	A	5.7448530197143555	0	0
A_part_H05	part	A	5.336690902709961	0	0
v_puck_F08	puck	v	7.241001129150391	0	0
v_cup_F04	cup	v	2.055877923965454	0	0
v_cud_F08	cud	v	2.2106521129608154	0	0
A_lark_F04	lark	A	25.1321918964386	0	0
A_park_F07	park	A	1.383958101272583	0	0
v_bun_F06	bun	v	1.311156988143921	0	0
v_luck_F09	luck	v	2.5236451625823975	0	0
A_tart_H04	tart	A	7.5485920906066895	0	0
v_puck_H04	puck	v	7.471323728561401	0	0
A_carp_H06	carp	A	2.64628005027771	0	0
v_putt_F05	putt	v	1.531548261642456	0	0
v_putt_F08	putt	v	1.2113168239593506	0	0
v_luck_F06	luck	v	1.3204529285430908	0	0
v_puck_F04	puck	v	0.9724369049072266	0	0
A_park_H07	park	A	1.4766008853912354	0	0
A_card_F07	card	A	4.964695930480957	0	0
A_barn_H07	barn	A	47.09017086029053	0	0
v_tut_F07	tut	v	1.2675409317016602	0	0
v_bun_H07	bun	v	1.1727187633514404	0	0
v_puck_F07	puck	v	1.3495380878448486	0	0

#TotalErreurs#0TempsTotal#3min 31sec
