#Fri Feb 12 17:51:29 2021#Liste2AFC_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
I_cheap_H06	cheap	I	4.227637052536011	0	0
I_cheap_H08	cheap	I	1.8814289569854736	0	0
i_bin_F08	bin	i	1.8359344005584717	0	0
I_teak_H06	teak	I	1.8771498203277588	0	0
I_beak_F07	beak	I	1.7128281593322754	0	0
I_beak_H09	beak	I	2.6821439266204834	0	0
i_chip_F04	chip	i	2.147714853286743	0	0
i_chip_F09	chip	i	1.232795238494873	0	0
I_beak_F06	beak	I	2.0604588985443115	0	0
i_min_F06	min	i	2.4383490085601807	0	0
i_bin_H04	bin	i	2.0337767601013184	0	0
i_bin_H07	bin	i	1.9896767139434814	0	0
I_deed_F04	deed	I	1.9860286712646484	0	0
i_kip_H07	kip	i	2.017720937728882	0	0
i_kip_H05	kip	i	1.1835498809814453	0	0
I_leak_H07	leak	I	1.900852918624878	0	0
i_did_F05	did	i	2.1276028156280518	0	0
i_sick_H07	sick	i	1.441169023513794	0	0
I_mean_F09	mean	I	1.8603019714355469	0	0
I_bean_F06	bean	I	1.367603063583374	0	0
I_beak_F08	beak	I	1.1257569789886475	0	0
i_lick_F05	lick	i	2.3860888481140137	0	0
I_leak_H06	leak	I	3.2057816982269287	0	0
I_deed_F06	deed	I	2.1957409381866455	0	0
I_beak_H08	beak	I	1.2900149822235107	0	0
i_bik_F07	bik	i	1.7955758571624756	0	0
I_keep_H05	keep	I	2.9674177169799805	0	0
i_pick_F09	pick	i	1.8695111274719238	0	0
I_mean_H08	mean	I	1.671349048614502	0	0
i_chip_H09	chip	i	1.7042160034179688	0	0

#TotalErreurs#0TempsTotal#1min 52sec
