#Mon Feb 22 17:57:04 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_pack_H08-a_pack_H09	1	1	1	2.7166876792907715	0	0
a_mat_H09-v_mutt_H05	2	2	1	1.2717540264129639	0	0
a_tat_F07-v_tut_F04	2	2	1	1.058960199356079	0	0
a_pat_F05-v_putt_F06	2	2	1	1.0840120315551758	0	0
a_mat_F05-v_mutt_F07	2	2	1	1.4018869400024414	0	0
v_cup_F05-v_cup_F08	1	1	1	1.4615638256072998	0	0
v_puck_H09-v_puck_H08	1	1	1	2.699676990509033	0	0
a_back_H06-a_back_H04	1	1	1	1.3946850299835205	0	0
a_mat_H05-v_mutt_H07	2	2	1	66.32371878623962	0	0
v_puck_F04-a_pack_F07	2	2	1	1.158087968826294	0	0
a_cad_F04-a_cad_F08	1	1	1	1.207301139831543	0	0
v_luck_F08-a_lack_F09	2	2	1	1.1890637874603271	0	0
a_ban_H09-v_bun_H05	2	2	1	1.0861568450927734	0	0
a_mat_F06-a_mat_F05	1	1	1	1.489434003829956	0	0
a_cad_F08-a_cad_F06	1	1	1	0.6895802021026611	0	0
a_pack_F06-a_pack_F05	1	1	1	10.33405327796936	0	0
a_pat_H07-v_putt_H04	2	2	1	1.2331562042236328	0	0
a_ban_F05-v_bun_F06	2	2	1	1.5771079063415527	0	0
v_putt_H06-a_pat_H07	2	2	1	6.973192930221558	0	0
a_cat_F07-v_cut_F05	2	2	1	1.4661738872528076	0	0
a_cap_H05-v_cup_H07	2	2	1	1.759871244430542	0	0
a_back_H09-v_buck_H07	2	2	1	6.101047039031982	0	0
a_ban_H05-v_bun_H06	2	2	1	2.15585994720459	0	0
v_buck_F08-a_back_F07	2	2	1	7.840651988983154	0	0
v_puck_H04-a_pack_H07	2	2	1	1.1524217128753662	0	0
v_mutt_H09-v_mutt_H06	1	1	1	2.1413538455963135	0	0
v_cut_H06-a_cat_H09	2	2	1	1.1726839542388916	0	0
v_buck_H07-v_buck_H08	1	1	1	4.157382965087891	0	0
v_luck_H08-a_lack_H09	2	2	1	1.6823570728302002	0	0
a_cat_H08-a_cat_H05	1	1	1	1.6697170734405518	0	0

#TotalErreurs#0#TempsTotal#4min 9sec
