#Thu Feb 04 17:29:20 2021#ListeAX_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_pat_F09-v_putt_F04	2	2	1	1.0710608959197998	0	0
v_buck_H08-a_back_H07	2	2	1	2.9405531883239746	0	0
a_cad_H09-v_cud_H06	2	2	1	1.1040167808532715	0	0
a_mat_F09-v_mutt_F05	2	2	1	1.5838406085968018	0	0
a_pack_F08-a_pack_F09	1	1	1	1.0405611991882324	0	0
v_cut_H08-a_cat_H05	2	2	1	1.1661670207977295	0	0
v_tut_H09-v_tut_H07	1	1	1	0.9127881526947021	0	0
a_pack_F05-v_puck_F09	2	2	1	1.0691452026367188	0	0
v_luck_F05-v_luck_F04	1	1	1	14.683162689208984	0	0
a_pack_F09-v_puck_F08	2	2	1	0.7681729793548584	0	0
v_cup_H06-a_cap_H05	2	2	1	1.4310002326965332	0	0
v_tut_H06-a_tat_H09	2	2	1	6.8664398193359375	0	0
v_cup_H05-v_cup_H08	1	1	1	5.482166051864624	0	0
v_tut_H08-a_tat_H05	2	2	1	2.0001931190490723	0	0
a_mat_F06-a_mat_F05	1	1	1	1.3042716979980469	0	0
v_cud_F08-a_cad_F04	2	2	1	4.022544860839844	0	0
v_putt_H06-a_pat_H07	2	2	1	3.198854923248291	0	0
a_pack_H04-a_pack_H06	1	1	1	19.79444932937622	0	0
v_cud_H08-a_cad_H04	2	2	1	37.00831890106201	0	0
v_bun_H04-a_ban_H09	2	2	1	3.350161075592041	0	0
v_luck_H06-a_lack_H04	2	2	1	1.1629948616027832	0	0
v_luck_F07-v_luck_F09	1	1	1	1.4483351707458496	0	0
a_back_H09-v_buck_H07	2	2	1	36.735257148742676	0	0
v_tut_F07-v_tut_F06	1	1	1	1.2916302680969238	0	0
a_mat_H05-v_mutt_H07	2	2	1	1.5817620754241943	0	0
v_buck_H09-v_buck_H04	1	1	1	1.542860984802246	0	0
v_tut_H05-v_tut_H08	1	1	1	1.59995698928833	0	0
a_cap_F06-a_cap_F07	1	1	1	1.0377871990203857	0	0
v_cut_F07-v_cut_F04	1	1	1	0.9860308170318604	0	0
a_cap_F09-v_cup_F08	2	2	1	1.7889018058776855	0	0

#TotalErreurs#0#TempsTotal#4min 28sec
