#Mon Feb 22 17:52:47 2021#ListeAX_av.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
v_luck_H05-v_luck_H04	1	1	1	1.9698660373687744	0	0
A_bark_F06-A_bark_F04	1	1	1	1.9314157962799072	0	0
A_cart_H07-v_cut_H05	2	2	1	1.4477829933166504	0	0
A_tart_H04-A_tart_H08	1	1	1	1.2985279560089111	0	0
A_part_F08-A_part_F09	1	1	1	0.9720079898834229	0	0
A_barn_H09-v_bun_H05	2	2	1	1.1530828475952148	0	0
A_cart_H04-A_cart_H05	1	1	1	1.08659029006958	0	0
A_mart_F09-v_mutt_F05	2	2	1	1.4408247470855713	0	0
A_card_F08-A_card_F06	1	1	1	1.3362641334533691	0	0
v_luck_F09-v_luck_F06	1	1	1	1.6071312427520752	0	0
A_mart_H08-A_mart_H07	1	1	1	1.5129940509796143	0	0
A_barn_F08-A_barn_F05	1	1	1	14.426496982574463	0	0
v_cud_H08-A_card_H04	2	2	1	16.960994958877563	0	0
v_luck_H06-A_lark_H04	2	2	1	1.220458984375	0	0
v_tut_F06-A_tart_F09	2	2	1	1.6609480381011963	0	0
v_bun_F07-v_bun_F06	1	1	1	1.7270708084106445	0	0
A_bark_F09-v_buck_F07	2	2	1	1.348572015762329	0	0
v_cup_H04-A_carp_H05	2	2	1	9.771577835083008	0	0
A_mart_H04-A_mart_H05	1	1	1	12.416049003601074	0	0
v_tut_F09-v_tut_F07	1	1	1	11.8542799949646	0	0
A_lark_F07-v_luck_F08	2	2	1	1.2924301624298096	0	0
v_cut_F05-v_cut_F07	1	1	1	2.576281785964966	0	0
v_tut_F07-v_tut_F06	1	1	1	26.23352861404419	0	0
A_lark_H06-A_lark_H05	1	1	1	1.6105778217315674	0	0
A_bark_H04-A_bark_H09	1	1	1	7.448368072509766	0	0
A_lark_F04-A_lark_F09	1	1	1	1.8232252597808838	0	0
A_park_F06-A_park_F05	1	1	1	1.3821539878845215	0	0
v_cup_F09-v_cup_F06	1	1	1	1.0942668914794922	0	0
v_mutt_F06-A_mart_F05	2	2	1	1.3266088962554932	0	0
A_mart_F08-A_mart_F07	1	1	1	1.0226879119873047	0	0

#TotalErreurs#0#TempsTotal#4min 6sec
