#Mon Feb 22 17:46:53 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_did_H04-I_deed_H09	2	2	1	3.149807929992676	0	0
I_deed_F07-i_did_F05	2	2	1	1.2377262115478516	0	0
I_keep_H05-i_kip_H04	2	2	1	1.0239202976226807	0	0
i_min_F06-I_mean_F08	2	2	1	1.445105791091919	0	0
I_leak_F08-I_leak_F09	1	1	1	1.5424351692199707	0	0
I_seek_F04-I_seek_F05	1	1	1	1.1910359859466553	0	0
I_peak_F08-I_peak_F05	1	1	1	0.35988712310791016	0	0
I_cheap_F05-i_cheap_F07	2	2	1	1.1276659965515137	0	0
I_keep_H09-i_kip_H06	2	2	1	1.0263662338256836	0	0
i_did_F08-I_deed_F05	2	2	1	3.006696939468384	0	0
i_kip_H05-i_kip_H04	1	1	1	1.115248203277588	0	0
i_bik_F08-I_beak_F04	2	2	1	1.9644479751586914	0	0
I_seek_H04-I_seek_H05	1	1	1	95.18491816520691	0	0
I_mean_F05-i_min_F08	2	1	0	1.445652961730957	1	0
i_min_H09-i_min_H04	1	1	1	12.532469034194946	0	0
i_sick_F06-I_seek_F05	2	1	0	0.10449934005737305	1	0
i_tick_H09-i_tick_H07	1	1	1	0.9538817405700684	0	0
I_bean_H07-i_bin_H08	2	2	1	1.0212390422821045	0	0
i_sick_F08-I_seek_F09	2	2	1	1.3017840385437012	0	0
i_bik_H06-I_beak_H07	2	2	1	1.3078770637512207	0	0
i_min_H07-i_min_H08	1	1	1	4.127903938293457	0	0
i_pick_H06-I_peak_H07	2	2	1	1.0788376331329346	0	0
i_lick_H04-I_leak_H07	2	2	1	2.018846035003662	0	0
I_keep_H06-I_keep_H07	1	1	1	1.187859058380127	0	0
I_bean_F06-I_bean_F05	1	1	1	0.9242148399353027	0	0
I_seek_H06-I_seek_H05	1	1	1	1.4071400165557861	0	0
I_beak_F08-I_beak_F09	1	1	1	6.535341262817383	0	0
I_deed_F05-i_did_F04	2	2	1	1.8257720470428467	0	0
i_pick_F04-I_peak_F09	2	2	1	63.125165939331055	0	0
i_pick_F05-i_pick_F08	1	1	1	4.361012935638428	0	0

#TotalErreurs#2#TempsTotal#5min 39sec
