#Fri Mar 19 14:37:28 2021#Liste2AFC_a.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
a_ban_F07	ban	a	2.8200650215148926	0	0
v_cut_H06	cut	v	1.2808759212493896	0	0
v_tut_H05	tut	v	3.952967882156372	1	0
a_cap_F08	cap	a	1.453108787536621	0	0
a_tat_F06	tat	a	1.1845781803131104	0	0
a_cat_F09	cat	a	1.0465757846832275	0	0
a_ban_F08	ban	a	1.0138869285583496	0	0
a_cat_H04	cat	a	0.9105639457702637	0	0
v_bun_F09	bun	v	1.474424123764038	0	0
v_buck_F07	buck	v	2.4492290019989014	0	0
v_cut_H08	cut	v	1.5668089389801025	0	0
a_back_H07	back	a	1.6484460830688477	0	0
v_cut_F08	cut	v	2.6929850578308105	0	0
v_buck_H05	buck	v	1.2717952728271484	0	0
a_pack_F05	pack	a	1.4355478286743164	0	0
v_cut_F04	cut	v	1.4413349628448486	0	0
v_bun_H07	bun	v	1.2344717979431152	1	0
a_tat_F09	tat	a	2.4101998805999756	0	0
a_ban_F09	ban	a	1.2527520656585693	0	0
a_cat_H07	cat	a	0.8944728374481201	0	0
a_cap_H07	cap	a	1.6789002418518066	0	0
a_lack_H07	lack	a	1.0444831848144531	0	0
v_bun_F06	bun	v	2.556886911392212	0	0
a_tat_F05	tat	a	1.6053721904754639	0	0
a_mat_H04	mat	a	1.088149070739746	0	0
a_mat_H07	mat	a	1.4828250408172607	0	0
a_lack_H06	lack	a	1.5651130676269531	1	0
v_tut_H04	tut	v	0.987943172454834	1	0
a_tat_H07	tat	a	1.6972320079803467	0	0
a_pat_H09	pat	a	1.0112941265106201	0	0

#TotalErreurs#4TempsTotal#1min 53sec
