#Thu Mar 04 14:21:38 2021#ListeAX_i.txt#00
Sound File	Stimulus	Vowel	Response Time	NbErreurs	Repetitions
i_bik_F04-I_beak_F06	2	2	1	1.0043456554412842	0	0
I_peak_H06-I_peak_H08	1	2	0	0.419175386428833	1	1
I_teak_H07-i_tick_H04	2	2	1	2.0510568618774414	0	0
I_deed_F05-i_did_F04	2	2	1	0.8744237422943115	0	0
i_did_F07-i_did_F04	1	1	1	0.9591851234436035	0	0
i_bik_F06-I_beak_F07	2	2	1	1.5821499824523926	0	1
I_teak_F07-i_tick_F04	2	2	1	1.425574779510498	0	0
I_peak_F04-I_peak_F07	1	1	1	1.0777111053466797	0	0
i_lick_H05-i_lick_H06	1	2	0	0.33305811882019043	1	0
I_teak_H09-i_tick_H05	2	1	0	0.8000619411468506	1	0
I_leak_F08-I_leak_F09	1	2	0	0.35040783882141113	1	0
I_keep_H06-I_keep_H07	1	2	0	1.2418091297149658	1	0
I_deed_H08-I_deed_H05	1	2	0	1.112377643585205	1	0
I_mean_H08-I_mean_H06	1	1	1	1.0342788696289062	0	0
I_peak_H09-i_pick_H05	2	1	0	0.8314521312713623	1	0
i_chip_H07-i_cheap_H04	1	2	0	0.6507649421691895	1	0
i_bin_F05-i_bin_F04	1	2	0	0.863455057144165	1	0
I_peak_H04-I_peak_H07	1	2	0	0.9467837810516357	1	0
i_tick_H07-i_tick_H06	1	1	1	0.7066619396209717	0	0
i_did_H04-I_deed_H09	2	2	1	0.45308637619018555	0	0
i_bin_H07-i_bin_H09	1	1	1	1.5807280540466309	0	0
i_bin_F07-i_bin_F09	1	1	1	0.7406730651855469	0	0
I_seek_F06-I_seek_F05	1	1	1	0.42104125022888184	0	0
i_pick_H07-i_pick_H06	1	1	1	0.9985568523406982	0	0
I_beak_F04-I_beak_F09	1	1	1	0.4369950294494629	0	0
I_bean_H05-i_bin_H06	2	1	0	0.3740978240966797	1	0
i_bik_F09-i_bik_F08	1	2	0	1.077469825744629	1	0
I_leak_H06-I_leak_H05	1	2	0	0.9840991497039795	1	2
I_bean_F08-I_bean_F09	1	2	0	0.19719314575195312	1	0
I_keep_H09-i_kip_H06	2	2	1	0.7185897827148438	0	0

#TotalErreurs#14#TempsTotal#3min 9sec
