Sat Apr 17 17:11:25 2021
Sound File	Stimulus	Vowel	FirstResponse	Response Time	NbErreurs	Repetitions
i_pick_F08	pick	i	i	1.1697218418121338	0	3
v_tut_H05	tut	v	v	1.2604830265045166	0	4
I_teak_F04	teak	I	I	2.4180474281311035	0	1
I_peak_H08	peak	I	i	1.1442739963531494	1	0
v_tut_H07	tut	v	a	0.27976298332214355	1	0
v_bun_F05	bun	v	v	3.28190016746521	0	3
v_bun_H04	bun	v	v	1.6724610328674316	0	4
a_pack_H07	pack	a	a	2.7657248973846436	0	1
i_did_H05	did	i	i	1.2368979454040527	0	2
I_keep_H08	keep	I	I	1.800489902496338	0	1
v_bun_H08	bun	v	v	2.4191601276397705	0	0
A_park_H05	park	A	a	0.9369351863861084	2	2
v_puck_F06	puck	v	v	2.132131814956665	0	0
v_tut_F04	tut	v	v	2.8726248741149902	0	0
I_deed_F05	deed	I	I	1.8509042263031006	0	0
a_ban_H09	ban	a	v	0.3050990104675293	2	0
a_ban_H08	ban	a	a	1.4077489376068115	0	4
i_tick_H09	tick	i	i	1.5430209636688232	0	5
i_pick_F04	pick	i	i	2.157923936843872	0	1
i_pick_H07	pick	i	I	1.264826774597168	1	1
I_keep_H07	keep	I	I	1.0973749160766602	0	1
v_bun_F06	bun	v	a	0.9519350528717041	1	0
A_barn_F05	barn	A	A	3.9394631385803223	0	0
i_kip_H07	kip	i	I	0.2804291248321533	1	1
v_cut_H09	cut	v	i	0.35845112800598145	1	0
I_keep_F04	keep	I	i	2.3765668869018555	1	0
a_pack_H06	pack	a	v	0.29799509048461914	2	0
A_cart_F04	cart	A	A	2.680204153060913	0	0
I_peak_F06	peak	I	i	0.2798030376434326	1	0
a_ban_F04	ban	a	a	4.406335115432739	0	0

#TotalErreurs#14#TempsTotal#4min 3sec
