#00#Sun Apr 18 17:15:15 2021#ListeOddity_2.txt
Vowel	Sound Files	Response	FirstResponse	Result	Response Time	NbErreurs	nbRepetitions
A_tart_H06-A_tart_H09-v_tut_H07	v	3	1	0	3.2003860473632812	3	0
v_bun_H09-a_ban_H05-v_bun_H07	a	2	1	0	0.7614350318908691	2	2
A_card_F05-v_cud_F06-A_card_F07	v	2	2	1	1.1682980060577393	0	0
I_teak_H06-I_teak_H05-i_tick_H09	i	3	3	1	0.5821678638458252	0	0
v_cut_F04-v_cut_F05-A_cart_F09	A	3	3	1	0.07813596725463867	0	0
v_puck_H09-A_park_H05-v_puck_H07	A	2	2	1	0.4919168949127197	0	0
I_deed_F04-I_deed_F05-i_did_F09	i	3	3	1	2.016072988510132	0	0
i_pick_H09-I_peak_H08-i_pick_H07	I	2	2	1	1.4152319431304932	0	1
I_peak_H05-I_peak_H07-i_pick_H09	i	3	2	0	0.7117550373077393	2	0
v_tut_H08-a_tat_H09-a_tat_H04	v	1	3	0	0.2317209243774414	3	0
I_teak_F06-I_teak_F05-i_tick_F09	i	3	3	1	1.648092269897461	0	0
a_tat_H06-v_tut_H07-v_tut_H05	a	1	1	1	1.4490370750427246	0	0
i_tick_F08-i_tick_F05-I_teak_F04	I	3	3	1	0.6158888339996338	0	0
A_park_H04-v_puck_H05-A_park_H07	v	2	3	0	0.2970700263977051	3	0
A_park_H07-v_puck_H09-v_puck_H05	A	1	2	0	1.1330420970916748	3	0
i_sick_F08-i_sick_F09-I_seek_F06	I	3	3	1	2.5338261127471924	0	0
a_lack_F06-a_lack_F05-v_puck_F09	v	3	3	1	0.8437638282775879	0	0
v_bun_F05-v_bun_F07-a_ban_F08	a	3	1	0	0.21876311302185059	3	0
v_cut_H05-A_cart_H04-A_cart_H07	v	1	3	0	2.3106250762939453	2	1
I_keep_F06-i_kip_F07-I_keep_F05	i	2	2	1	0.9581451416015625	0	0
a_cad_F07-v_cud_F09-v_cud_F05	a	1	2	0	0.5781252384185791	3	0
v_bun_F09-a_ban_F05-v_bun_F07	a	2	1	0	0.9687609672546387	2	0
v_puck_F08-A_park_F06-A_park_F04	v	1	2	0	2.318881034851074	3	1
A_park_H05-A_park_H04-v_puck_H08	v	3	3	1	0.20313692092895508	0	1
I_deed_F06-i_did_F09-i_did_F07	I	1	1	1	0.948091983795166	0	0
I_seek_F09-i_sick_F04-I_seek_F07	i	2	2	1	1.4218769073486328	0	0
I_seek_F09-i_sick_F08-i_sick_F06	I	1	2	0	1.824864149093628	2	0
A_cart_F06-v_cut_F04-A_cart_F09	v	2	3	0	0.05884504318237305	3	0
A_card_H08-v_cud_H06-v_cud_H09	A	1	1	1	0.7540428638458252	0	1
I_teak_F07-i_tick_F05-i_tick_F08	I	1	1	1	0.5291669368743896	0	0

#TotalErreurs#34TempsTotal#6min 6sec
